Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100386,+102,4636 ,,94014.0,+51,1736.0,5,70,3,160000000,111163,1439323776 
USA,52072584,+151531,829179 ,+704,40723734.0,+152212,10519671.0,15834,155973,2484,791381913,2370433,333855383
India,34752164,+5326,478007 ,+453,34187017.0,+8077,87140.0,8944,24824,341,665112580,475101,1399939229
Brazil,22215856,+2094,617905 ,+67,21414318.0,,183633.0,8318,103435,2877,63776166,296937,214779935
UK,11451514,+91207,147261 ,+44,9826541.0,+43186,1477712.0,879,167395,2153,388970198,5685855,68410148
Russia,10241812,+27022,298222 ,+1019,9014980.0,+30059,928610.0,2300,70137,2042,235600000,1613406,146026460
Turkey,9189881,+18762,80591 ,+176,8810097.0,+24497,299193.0,1128,107268,941,114726791,1339134,85672389
France,8640924,+15075,121717 ,+224,7554011.0,+47102,965196.0,3025,131951,1859,178020146,2718453,65485839
Germany,6834446,+21710,109243 ,+280,5801400.0,+48100,923803.0,4636,81191,1298,89622218,1064678,84177751
Iran,6173369,+2390,131124 ,+41,6009489.0,+5212,32756.0,2849,72142,1532,40880338,477730,85572129
Spain,5535231,+26568,88793 ,+29,4985234.0,+6286,461204.0,1306,118321,1898,66213858,1415388,46781403
Italy,5405345,+16198,135778 ,+137,4899879.0,+8640,369688.0,987,89595,2251,130705958,2166477,60331107
Argentina,5395044,+5337,116930 ,+27,5237599.0,+3830,40515.0,795,117782,2553,27082573,591256,45805162
Colombia,5109022,+1699,129487 ,+29,4948804.0,+1905,30731.0,342,98859,2506,29007812,561300,51679695
Indonesia,4260677,+133,144013 ,+11,4111835.0,+216,4829.0,,15339,518,60470151,217696,277773039
Poland,3968451,+9610,91514 ,+29,3458870.0,+22887,418067.0,2116,105025,2422,26298535,695992,37785666
Mexico,3933386,+841,297858 ,+23,3287874.0,+1956,347654.0,4798,30044,2275,12173363,92981,130922975
Ukraine,3610687,+2536,93262 ,+157,3338555.0,+6690,178870.0,177,83297,2152,16503941,380737,43347383
South Africa,3316585,+8511,90453 ,+105,3026285.0,+15772,199847.0,546,54904,1497,20985692,347404,60407112
Netherlands,2992157,+12154,20504 ,+36,2401175.0,+21746,570478.0,610,174058,1193,19205114,1117186,17190607
Philippines,2837551,+84,50784 ,+45,2777169.0,+205,9598.0,899,25398,455,24937631,223209,111723375
Malaysia,2721544,+2589,31135 ,+43,2638191.0,+3810,52218.0,379,82533,944,39845376,1208346,32975133
Czechia,2407038,+3742,35369 ,+64,2190448.0,+128,181221.0,838,224157,3294,46159025,4298586,10738188
Peru,2266205,+885,202295 ,+70,,,,934,67353,6012,21192993,629873,33646454
Thailand,2194053,+2525,21408 ,+31,2132548.0,+4190,40097.0,899,31318,306,17270775,246523,70057449
Iraq,2090844,+364,24074 ,+11,2060413.0,+547,6357.0,91,50325,579,16683065,401547,41547002
Belgium,2010956,+7702,27953 ,+33,1539829.0,+19363,443174.0,804,172411,2397,26251807,2250715,11663762
Canada,1896462,+10450,30063 ,+13,1800387.0,+5910,66012.0,455,49609,786,51062934,1335733,38228409
Romania,1798629,+424,58254 ,+28,1726051.0,+1242,14324.0,527,94421,3058,16703409,876867,19048967
Chile,1792902,+1126,38885 ,+21,1701632.0,+2587,52385.0,620,92621,2009,26810503,1385031,19357324
Japan,1729964,+187,18379 ,,1710316.0,+116,1269.0,27,13740,146,28827171,228956,125907149
Bangladesh,1581343,+260,28050 ,+2,1545807.0,+236,7486.0,1352,9463,168,11286029,67541,167100113
Vietnam,1555455,+14977,29791 ,+225,1109899.0,+1937,415765.0,7615,15771,302,72840350,738555,98625492
Israel,1357127,+1636,8232 ,,1340857.0,+325,8038.0,84,145521,883,36880800,3954621,9326000 
Pakistan,1291467,+359,28878 ,+6,1253001.0,+354,9588.0,666,5685,127,22864737,100642,227188476
Serbia,1283490,+1029,12432 ,+31,1246604.0,+4095,24454.0,121,147772,1431,7077197,814818,8685620
Sweden,1263566,+3042,15206 ,,1174809.0,+1314,73551.0,79,123978,1492,14208757,1394134,10191817
Austria,1251433,+1792,13496 ,+17,1196295.0,+4765,41642.0,478,137794,1486,117832609,12974408,9081926
Hungary,1228400,+10105,37896 ,+366,1048633.0,+22379,141871.0,503,127635,3938,9014430,936634,9624283
Portugal,1227854,+2752,18796 ,+18,1135358.0,+2023,73700.0,152,120935,1851,23905081,2354486,10152992
Switzerland,1192649,+4158,12032 ,+17,934401.0,+6246,246216.0,296,136340,1375,13618501,1556821,8747635
Jordan,1040243,+3578,12268 ,+38,969499.0,+5773,58476.0,1253,100488,1185,13117168,1267119,10351959
Greece,1037877,+3807,19976 ,+85,964410.0,+5807,53491.0,670,100296,1930,43043808,4159551,10348187
Kazakhstan,983294,+379,12923 ,+6,953206.0,+456,17165.0,528,51463,676,11575012,605811,19106643
Cuba,964176,+79,8315 ,+1,955462.0,+94,399.0,15,85201,735,11467928,1013386,11316451
Morocco,952916,+102,14810 ,+1,936597.0,+147,1509.0,103,25375,394,10659005,283837,37553255
Georgia,910456,+1296,13116 ,+45,863076.0,+4127,34264.0,,228878,3297,12462653,3132967,3977908
Nepal,825954,+218,11574 ,+1,809155.0,+263,5225.0,114,27618,387,4771758,159557,29906198
Slovakia,807339,+1224,16068 ,+54,716481.0,+2937,74790.0,543,147769,2941,4967400,909192,5463530
UAE,744438,+301,2152 ,+1,738785.0,+149,3501.0,,73956,214,107090244,10638866,10065945
Bulgaria,726794,+2001,30239 ,+157,600728.0,+2025,95827.0,506,105769,4401,7156089,1041413,6871522
Tunisia,721103,+72,25475 ,+5,694280.0,+228,1348.0,76,60090,2123,3270912,272569,12000312
Lebanon,701749,+806,8950 ,+14,649517.0,+2249,43282.0,186,103495,1320,4795578,707260,6780499
Belarus,685462,+834,5399 ,+14,677045.0,+657,3018.0,,72576,572,10836163,1147321,9444753
Croatia,675730,+367,12043 ,+62,644117.0,+3341,19570.0,268,166107,2960,3647762,896688,4068038
Ireland,661388,+4788,5835 ,,518948.0,+5959,136605.0,104,131782,1163,9313992,1855814,5018818
Denmark,627356,+10082,3084 ,+8,513181.0,+7137,111091.0,66,107753,530,102257394,17563405,5822185
Guatemala,623795,+133,16077 ,+10,607014.0,+161,704.0,5,33898,874,3222269,175103,18402096
Azerbaijan,610895,+577,8208 ,+9,587338.0,+672,15349.0,,59463,799,5757381,560413,10273463
Sri Lanka,580209,+524,14771 ,+19,557621.0,+295,7817.0,,26930,686,5726599,265794,21545220
S. Korea,570417,+5319,4776 ,+54,456126.0,+2100,109515.0,997,11112,93,15804065,307867,51334052
Costa Rica,568755,+71,7342 ,+2,559941.0,+72,1472.0,53,110171,1422,2908952,563481,5162469
Bolivia,564747,+889,19440 ,+12,511260.0,+174,34047.0,220,47430,1633,2615853,219692,11906895
Saudi Arabia,550988,+146,8864 ,+2,540178.0,+99,1946.0,31,15473,249,32413727,910241,35610063
Ecuador,537220,+188,33614 ,+17,443880.0,,59726.0,759,29785,1864,2103013,116598,18036495
Myanmar,528380,+127,19226 ,+6,505761.0,+366,3393.0,,9616,350,5909389,107549,54945859
Lithuania,503011,+651,7153 ,+29,467948.0,+198,27910.0,104,188647,2683,6462129,2423523,2666419
Panama,483638,+252,7400 ,+2,472089.0,+195,4149.0,16,109556,1676,4371071,990160,4414510
Paraguay,464703,+73,16583 ,+8,447130.0,+95,990.0,50,63998,2284,2002195,275737,7261240
Slovenia,449148,+584,5506 ,+10,425374.0,+765,18268.0,215,216003,2648,2026862,974754,2079358
Venezuela,441937,+375,5291 ,+6,430351.0,+402,6295.0,681,15607,187,3359014,118620,28317471
Palestine,436702,+389,4607 ,+5,428032.0,+180,4063.0,55,82780,873,2811936,533026,5275422
Kuwait,414178,+80,2466 ,,411118.0,+25,594.0,3,94923,565,5738643,1315199,4363326
Dominican Republic,411883,+162,4223 ,,406256.0,+215,1404.0,96,37418,384,2532073,230027,11007742
Uruguay,404821,+361,6156 ,+1,395799.0,+274,2866.0,21,115947,1763,4286277,1227658,3491426
Mongolia,387116,+125,2045 ,+2,313256.0,,71815.0,192,115357,609,4030048,1200916,3355813
Libya,382341,+592,5607 ,+9,370567.0,+793,6167.0,,54554,800,1982408,282856,7008532
Honduras,378804,,10428 ,,123618.0,,244758.0,38,37372,1029,1132491,111730,10135933
Ethiopia,377056,+681,6872 ,+6,351059.0,+186,19125.0,138,3165,58,3981630,33419,119141337
Egypt,376233,+903,21410 ,+49,313051.0,+760,41772.0,90,3577,204,3693367,35119,105167847
Moldova,372429,+229,9521 ,+28,358118.0,+461,4790.0,155,92640,2368,2326057,578596,4020178
Norway,354465,+4041,1207 ,+3,88952.0,,264306.0,121,64642,220,9126520,1664350,5483535
Armenia,343708,+72,7903 ,+4,328799.0,+364,7006.0,,115673,2660,2497107,840385,2971385
Oman,304874,+31,4113 ,,300203.0,+12,558.0,2,57554,776,25000000,4719520,5297149
Bosnia and Herzegovina,285133,+240,13188 ,+33,192218.0,,79727.0,,87711,4057,1449713,445955,3250809
Bahrain,278600,+101,1394 ,,276603.0,+32,603.0,1,155794,780,7796697,4359947,1788255
Singapore,276105,+195,815 ,+2,271753.0,+396,3537.0,29,46655,138,21098774,3565213,5917956
Latvia,267465,+326,4454 ,+10,253282.0,+691,9729.0,84,144145,2400,5524045,2977076,1855527
Kenya,264727,+1020,5353 ,,249315.0,+19,10059.0,16,4769,96,2933764,52852,55509468
Australia,254685,+3957,2146 ,,222384.0,+1551,30155.0,114,9820,83,51880210,2000430,25934532
Qatar,246714,+177,614 ,,243785.0,+151,2315.0,11,87867,219,3109035,1107283,2807805 
Estonia,232505,+385,1888 ,+4,217356.0,+156,13261.0,22,175099,1422,2448372,1843866,1327847
Nigeria,225255,+1368,2985 ,,211660.0,+123,10610.0,11,1054,14,3686403,17256,213635173
North Macedonia,221411,+126,7825 ,+10,208209.0,+261,5377.0,,106282,3756,1551730,744861,2083248
Finland,219250,+5932,1493 ,+39,46000.0,,171757.0,60,39481,269,8355976,1504667,5553374
Zambia,217117,+609,3684 ,+5,207424.0,+201,6009.0,112,11344,192,2829589,147844,19139030
Algeria,214835,+243,6190 ,+6,147829.0,+189,60816.0,22,4773,138,230861,5129,45013568
Albania,205897,+120,3172 ,+6,197547.0,+171,5178.0,23,71662,1104,1441247,501621,2873177
Botswana,204701,+4837,2425 ,,193454.0,+1002,8822.0,1,84541,1002,1985958,820196,2421321
Uzbekistan,197268,+194,1461 ,+3,194052.0,+135,1755.0,23,5771,43,1377915,40312,34181595
Zimbabwe,195079,+2283,4805 ,+18,140812.0,+2415,49462.0,12,12850,317,1780757,117304,15180687
Kyrgyzstan,184218,+23,2784 ,+1,179311.0,+29,2123.0,131,27568,417,1889527,282768,6682249
Montenegro,161127,+132,2378 ,+3,156855.0,+222,1894.0,60,256497,3786,940615,1497358,628183
Mozambique,160457,+553,1952 ,,150484.0,+49,8021.0,13,4931,60,1028872,31619,32539667
Afghanistan,157797,+10,7335 ,,145268.0,+34,5194.0,1124,3924,182,811979,20191,40214860
Cyprus,145996,+835,623 ,+3,124370.0,,21003.0,60,119642,511,9477138,7766395,1220275
Namibia,139518,+1334,3583 ,+1,127439.0,+70,8496.0,16,53487,1374,842897,323139,2608462
Ghana,132132,+221,1257 ,+2,129701.0,+18,1174.0,5,4126,39,2047201,63925,32024909
Uganda,129319,+258,3274 ,+1,98053.0,+82,27992.0,74,2702,68,2066294,43175,47858733
El Salvador,121579,+49,3809 ,+2,105672.0,+105,12098.0,198,18606,583,1495711,228901,6534309
Cambodia,120423,+7,3005 ,,116803.0,+11,615.0,,7059,176,2745722,160956,17058810
Cameroon,108026,+364,1841 ,+5,105735.0,+428,450.0,13,3926,67,1751774,63666,27515278
