Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100644,+100,4636 ,,94185.0,+42,1823.0,10,70,3,160000000,111163,1439323776 
USA,52788451,+267269,836924 ,+1297,40964993.0,+56847,10986534.0,16128,158110,2507,797357949,2388220,333871263
India,34772657,+6681,479133 ,+374,34208926.0,+6960,84598.0,8944,24837,342,668643929,477586,1400050350
Brazil,22226573,+3645,618228 ,+100,21414318.0,,194027.0,8318,103479,2878,63776166,296920,214792301
UK,11769106,+119517,147720 ,+147,9961369.0,+38889,1660017.0,872,172030,2159,393792547,5756102,68413065
Russia,10318650,+25667,301271 ,+1002,9139166.0,+41645,878213.0,2300,70663,2063,236800000,1621618,146026971
Turkey,9247606,+18771,81125 ,+168,8880050.0,+21605,286431.0,1128,107932,947,115788134,1351405,85679824
France,8889636,+91608,122295 ,+179,7701272.0,+49688,1066069.0,3147,135747,1867,182873794,2792520,65487020
Germany,6954549,+39196,110636 ,+402,5992800.0,+59400,851113.0,4636,82615,1314,89622218,1064651,84179941
Iran,6179817,+1932,131262 ,+51,6019343.0,+3019,29212.0,2807,72210,1534,41183363,481221,85580941
Spain,5718007,+72912,89019 ,+82,5002310.0,+5242,626678.0,1515,122228,1903,66213858,1415384,46781550
Italy,5517045,+44586,136245 ,+153,4950780.0,+17117,430020.0,1023,91447,2258,133238576,2208482,60330381
Argentina,5428957,+13456,116979 ,+15,5248682.0,+5184,63296.0,832,118514,2554,27302336,596010,45808558
Colombia,5115194,+2475,129640 ,+54,4953642.0,+1629,31912.0,342,98970,2508,29166085,564314,51684137
Indonesia,4261208,+136,144042 ,+8,4112524.0,+232,4642.0,,15339,519,61372344,220925,277796733
Poland,4017404,+17140,93445 ,+616,3500570.0,+16218,423389.0,2080,106322,2473,26591417,703750,37785327
Mexico,3940401,+3319,298359 ,+198,3293911.0,+1805,348131.0,4798,30095,2279,12216584,93303,130934071
Ukraine,3630391,+7312,94184 ,+275,3393420.0,+16521,142787.0,177,83755,2173,16598851,382945,43345240
South Africa,3374262,+21156,90662 ,+75,3094902.0,+42503,188698.0,546,55853,1501,20985692,347369,60413240
Netherlands,3028137,+13332,20621 ,+40,2467663.0,+22909,539853.0,572,176148,1200,19205114,1117166,17190916
Philippines,2837722,+107,50981 ,+65,2777434.0,+33,9307.0,899,25397,456,24937631,223185,111735331
Malaysia,2731713,+3510,31265 ,+44,2652585.0,+4998,47863.0,329,82833,948,40221291,1219620,32978532
Czechia,2435247,+7694,35622 ,+73,2221051.0,+550,178574.0,794,226780,3317,46466585,4327162,10738350
Peru,2271549,+2052,202424 ,+49,,,,890,67505,6016,21333592,633981,33650220
Thailand,2202001,+2940,21501 ,+30,2142186.0,+2798,38314.0,899,31431,307,17270775,246518,70058881
Iraq,2091834,+312,24108 ,+13,2061781.0,+422,5945.0,96,50340,580,16729836,402601,41554418
Belgium,2026457,+3172,28080 ,+13,1586945.0,+5715,411432.0,709,173733,2407,26671827,2286645,11664174
Canada,1945754,+21493,30131 ,+18,1814426.0,+5020,101197.0,455,50895,788,51486352,1346713,38231119
Romania,1801081,+775,58465 ,+37,1729714.0,+1079,12902.0,453,94555,3069,16837470,883953,19047921
Chile,1796232,+1482,38954 ,+54,1708165.0,+1754,49113.0,581,92787,2012,26960138,1392665,19358668
Japan,1730602,+267,18383 ,+2,1710677.0,+96,1542.0,28,13745,146,28987157,230232,125903990
Vietnam,1604712,+16377,30531 ,+280,1184428.0,+10944,389753.0,7493,16270,310,73432477,744505,98632664
Bangladesh,1582368,+382,28054 ,+2,1546664.0,+312,7650.0,1352,9469,168,11345341,67890,167113551
Israel,1361265,+2091,8241 ,+2,1342608.0,+710,10416.0,79,145965,884,37251801,3994403,9326000 
Pakistan,1292406,+359,28894 ,+2,1254104.0,+510,9408.0,666,5688,127,23000798,101225,227223691
Serbia,1287202,+1177,12518 ,+30,1251175.0,+2801,23509.0,104,148204,1441,7122142,820020,8685332
Sweden,1273313,,15229 ,,1179355.0,+2048,78729.0,92,124929,1494,14208757,1394063,10192332
Austria,1258377,+2147,13595 ,+28,1211312.0,+4788,33470.0,430,138552,1497,119026243,13105231,9082346
Portugal,1253094,+10549,18840 ,+17,1149611.0,+3948,84643.0,155,123424,1856,24494256,2412574,10152750
Hungary,1237330,+3586,38307 ,+140,1071772.0,+11412,127251.0,454,128566,3980,9058668,941250,9624083
Switzerland,1221424,+6297,12128 ,+23,951091.0,+9116,258205.0,302,139621,1386,13812799,1578939,8748153
