Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99142,+59,4636 ,,93470.0,+36,1036.0,12,69,3,160000000,111163,1439323776 
USA,50060500,+78131,809574 ,+411,39552467.0,+41297,9698459.0,13780,149982,2426,762235227,2283673,333775983
India,34641561,+8306,473537 ,+211,34060774.0,+6918,107250.0,8944,24755,338,647252850,462527,1399383625
Brazil,22143091,+4844,615674 ,+68,21362553.0,+3201,164864.0,8318,103126,2867,63776166,297023,214718105
UK,10463780,+43789,145605 ,+54,9220626.0,+32495,1097549.0,895,152989,2129,368154460,5382724,68395562
Russia,9801613,+32602,281278 ,+1206,8502406.0,+30593,1017929.0,2300,67123,1926,228000000,1561388,146023904
Turkey,8901117,+19357,77830 ,+185,8436712.0,+24278,386575.0,1405,103942,909,109449755,1278093,85635216
France,7917264,+42252,119535 ,+29,7171380.0,+3192,626349.0,2066,120911,1826,167925512,2564534,65479937
Germany,6179839,+35983,103604 ,+74,5082500.0,+24400,993735.0,4636,73424,1231,85782441,1019196,84166800
Iran,6134465,+3109,130200 ,+76,5923316.0,+7117,80949.0,3249,71725,1522,39093355,457082,85528070
Argentina,5340676,+1294,116646 ,+3,5201840.0,+1699,22190.0,656,116639,2548,26410553,576798,45788182
Spain,5202958,,88159 ,,4927391.0,,187408.0,814,111220,1885,66213858,1415411,46780663
Italy,5109073,+15012,134195 ,+43,4742887.0,+6685,231991.0,736,84679,2224,122335117,2027607,60334736
Colombia,5081064,+2077,128780 ,+47,4921311.0,+2692,30973.0,342,98361,2493,28330663,548433,51657480
Indonesia,4257685,+196,143867 ,+4,4106292.0,+298,7526.0,,15334,518,55884039,201272,277654573
Mexico,3900293,+2841,295154 ,+251,3255802.0,+2736,349337.0,4798,29803,2255,11944625,91273,130867492
Poland,3671421,+22389,85675 ,+45,3142265.0,+25390,443481.0,1969,97160,2267,24870097,658159,37787358
Ukraine,3497477,+6622,88280 ,+278,3050659.0,+9274,358538.0,177,80665,2036,16076359,370781,43358094
South Africa,3031694,+11125,89966 ,+1,2858144.0,+2670,83584.0,546,50213,1490,19761834,327310,60376468
Philippines,2834611,+439,49386 ,+156,2771277.0,+788,13948.0,899,25385,442,24390103,218425,111663595
