Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,101486,+209,4636 ,,94575.0,+92,2275.0,12,71,3,160000000,111163,1439323776 
USA,54191196,+335037,842495 ,+2017,41325110.0,+118703,12023591.0,17105,162299,2523,806741077,2416132,333897730
India,34808886,+9195,480592 ,+302,34243945.0,+6450,84349.0,8944,24859,343,674078531,481404,1400235552
Brazil,22254706,+8430,618723 ,+148,21414318.0,,221665.0,8318,103600,2880,63776166,296892,214812911
UK,12376889,+168306,148032 ,+29,10179898.0,+53242,2048959.0,842,180901,2164,395579689,5781814,68417926
Russia,10437152,+21922,306090 ,+935,9337447.0,+43961,793615.0,2300,71474,2096,239000000,1636674,146027823
Turkey,9365399,+32176,81917 ,+184,8988852.0,+23104,294630.0,1128,109291,956,117585117,1372180,85692215
France,9326258,+179807,123188 ,+290,7926033.0,+61084,1277037.0,3333,142410,1881,188795159,2882854,65488987
Germany,7059346,+30978,111752 ,+448,6217800.0,+61300,729794.0,4636,83857,1327,89622218,1064604,84183592
Iran,6188857,+2128,131474 ,+40,6030632.0,+2137,26751.0,2751,72303,1536,41693121,487094,85595627
Spain,6032297,+99671,89253 ,+114,5041873.0,+9912,901171.0,1736,128945,1908,66213858,1415377,46781797
Italy,5756398,+78299,136955 ,+175,5020601.0,+16746,598842.0,1145,95416,2270,136733800,2266462,60329171
Argentina,5514207,+33902,117085 ,+19,5277510.0,+6666,119612.0,892,120360,2556,27654497,603623,45814218
Colombia,5132277,+4306,129833 ,+35,4963070.0,+1971,39374.0,342,99287,2512,29410095,568954,51691542
Indonesia,4262157,+278,144071 ,+8,4113472.0,+152,4614.0,,15341,519,62515657,225009,277836221
Poland,4064711,+9839,94913 ,+548,3595914.0,+13618,373884.0,2006,107575,2512,26907366,712122,37784763
Mexico,3951946,+943,298819 ,+42,3302873.0,+3883,350254.0,4798,30178,2282,12279310,93769,130952566
Ukraine,3649236,+2248,95105 ,+134,3437528.0,+4789,116603.0,177,84197,2194,16691695,385119,43341670
South Africa,3424534,+7216,90854 ,+25,3134314.0,+14302,199366.0,546,56676,1504,21106962,349317,60423455
Netherlands,3085553,+9111,20803 ,+75,2578851.0,+22121,485899.0,533,179482,1210,21107399,1227786,17191433
Philippines,2838901,+211,51213 ,+2,2777917.0,+17,9771.0,899,25403,458,25078068,224402,111755258
Malaysia,2746833,+2897,31392 ,+23,2673084.0,+3434,42357.0,302,83277,952,40755368,1235603,32984197
Czechia,2454691,+6861,35945 ,+46,2298130.0,+359,120616.0,687,228585,3347,46720238,4350674,10738621
Peru,2283474,+2112,202584 ,+34,,,,902,67846,6019,21591818,641535,33656496
Thailand,2214712,+2305,21630 ,+32,2159443.0,+3070,33639.0,899,31611,309,17270775,246510,70061267
Iraq,2092875,+225,24146 ,+7,2063808.0,+390,4921.0,84,50350,581,16789447,403915,41566778
Canada,2070457,+27023,30206 ,+22,1842681.0,+5618,197570.0,455,54150,790,51486352,1346554,38235634
Belgium,2052871,+2247,28218 ,+23,1673484.0,+118857,351169.0,629,175988,2419,26971240,2312178,11664862
Romania,1804455,+1144,58644 ,+67,1734715.0,+1406,11096.0,393,94741,3079,16969660,890975,19046177
Chile,1801795,+762,39059 ,+3,1720349.0,+2306,42387.0,550,93064,2017,27181151,1403919,19360907
Japan,1732007,+218,18387 ,,1711430.0,+212,2190.0,46,13757,146,29209297,232006,125898724
Vietnam,1680985,+14440,31632 ,+214,1264282.0,+4668,385071.0,7103,17041,321,73996693,750134,98644616
Bangladesh,1584023,+397,28062 ,+1,1548044.0,+294,7917.0,1352,9477,168,11429234,68383,167135949
Israel,1371007,+2995,8243 ,+1,1346518.0,+1151,16246.0,84,147009,884,37741674,4046931,9326000 
Sweden,1303663,+8995,15256 ,+1,1188217.0,+2621,100190.0,102,127895,1497,14931240,1464825,10193191
Portugal,1303291,+17172,18909 ,+19,1169841.0,+8226,114541.0,152,128373,1863,25486997,2510454,10152345
Pakistan,1294031,+316,28912 ,+3,1255204.0,+229,9915.0,636,5693,127,23234148,102226,227282382
Serbia,1293394,+1676,12645 ,+24,1259173.0,+1360,21576.0,91,148925,1456,7189047,827768,8684854
Switzerland,1277564,+16760,12242 ,+15,988625.0,+5221,276697.0,322,146024,1399,14075402,1608798,8749016
Austria,1268519,+2416,13672 ,+22,1226425.0,+2797,28422.0,372,139658,1505,122603900,13498103,9083047
Hungary,1246689,+1370,38894 ,+151,1091017.0,+3074,116778.0,374,129543,4041,9119505,947604,9623749
Greece,1105885,+21657,20557 ,+61,1001645.0,+4629,83683.0,635,106879,1987,45325105,4380473,10347080
Jordan,1057295,+2403,12556 ,+38,1007135.0,+4364,37604.0,976,102113,1213,13416659,1295773,10354171
Kazakhstan,986553,+354,12986 ,+9,958277.0,+588,15290.0,528,51621,679,11575012,605655,19111551
Cuba,965002,+145,8321 ,,956001.0,+74,680.0,11,85275,735,11608349,1025808,11316301
Morocco,957594,+1184,14837 ,+5,938479.0,+359,4278.0,103,25493,395,10785760,287139,37562815
Georgia,928030,+2676,13646 ,+63,888022.0,+2966,26362.0,,233306,3431,12787473,3214757,3977742
