Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99780,+101,4636 ,,93763.0,+43,1381.0,27,69,3,160000000,111163,1439323776 
USA,51027876,+97744,819737 ,+638,40154700.0,+115634,10053439.0,15296,152861,2456,777864131,2330202,333818330
India,34703644,+5784,475888 ,+252,34130768.0,+7973,96988.0,8944,24794,340,657662933,469867,1399679947
Brazil,22191949,+2082,616980  ,+39,21414318.0,,160651.0,8318,103338,2873,63776166,296977,214751081
UK,10872935,+54483,146477 ,+38,9528314.0,+37907,1198144.0,901,158953,2141,378044610,5526698,68403341
Russia,10046454,+29558,290604 ,+1121,8769916.0,+28561,985934.0,2300,68799,1990,232100000,1589451,146025267
Turkey,9058975,+18796,79322 ,+171,8637984.0,+23242,341669.0,1128,105761,926,112259860,1310604,85655042
France,8270728,+12036,120674 ,+243,7330260.0,+30406,819794.0,2602,126303,1843,175073861,2673574,65483085
Germany,6559716,+28804,106591 ,+260,5435700.0,+40400,1017425.0,4636,77932,1266,87852398,1043717,84172641
Iran,6157519,+2706,130764 ,+42,5975404.0,+5813,51351.0,3069,71974,1528,40157086,469390,85551568
Argentina,5361967,+3512,116792 ,+21,5218343.0,+2336,26832.0,704,117081,2550,26723972,583528,45797238
Spain,5339992,+16600,88484 ,+35,4954319.0,+4251,297189.0,1056,114149,1891,66213858,1415399,46781057
Italy,5238209,+12700,134929 ,+90,4812535.0,+6726,290745.0,856,86822,2236,126306054,2093489,60332800
Colombia,5095821,+2287,129163 ,+56,4935876.0,+2051,30782.0,342,98624,2500,28684089,555147,51669328
Indonesia,4259249,+106,143948 ,+12,4110327.0,+278,4974.0,,15337,518,58431254,210398,277717755
Mexico,3918216,+855,296672 ,+52,3273260.0,+2202,348284.0,4798,29934,2266,12069833,92209,130897083
Poland,3839625,+11379,88508 ,+29,3314243.0,+25126,436874.0,2152,101614,2342,25659484,679066,37786456
Ukraine,3563165,+4073,91215 ,+188,3205879.0,+9966,266071.0,177,82191,2104,16306176,376131,43352381
South Africa,3180785,+13288,90148 ,+11,2913297.0,+65,177340.0,546,52668,1493,20283906,335866,60392811
Netherlands,2894209,+13783,20140 ,+28,2262971.0,+13810,611098.0,644,168367,1172,19205114,1117233,17189884
Philippines,2836633,+190,50341 ,+61,2775211.0,+351,11081.0,899,25396,451,24673354,220898,111695478
Malaysia,2695143,+3504,30908 ,+29,2606309.0,+4401,57926.0,408,81752,938,39264848,1191028,32967202
Czechia,2338486,+4113,34660 ,+109,2090659.0,+141,213167.0,984,217781,3228,45511915,4238473,10737809
Peru,2255318,+945,201848 ,+78,,,,975,67047,6001,20879254,620711,33637668
Thailand,2172044,+3398,21192 ,+23,2101326.0,+5467,49526.0,1061,31005,303,14913135,212880,70054109
Iraq,2088359,+522,23994 ,+16,2056237.0,+783,8128.0,87,50286,578,16570624,399007,41529697
Belgium,1949442,+11191,27585 ,+45,1446289.0,+12878,475568.0,827,167150,2365,25785017,2210877,11662799
Canada,1840919,+4233,29941 ,+15,1774134.0,+4797,36844.0,469,48164,783,50147977,1312016,38222087
Romania,1793643,+494,57758 ,+37,1717348.0,+1489,18537.0,690,94148,3032,16435662,862701,19051408
Chile,1784165,+1361,38716 ,+30,1685042.0,+2663,60407.0,662,92185,2000,26397785,1363931,19354190
Japan,1728820,+131,18373 ,,1709488.0,+102,959.0,26,13730,146,28492373,226283,125914522
Bangladesh,1579710,+385,28031 ,+3,1544417.0,+267,7262.0,1369,9455,168,11142235,66693,167068756
Vietnam,1428428,+15377,28081 ,+242,1055912.0,+1192,344435.0,7730,14486,285,71332580,723390,98608759
Israel,1350946,+731,8223 ,+7,1336759.0,+368,5964.0,92,144858,882,36081323,3868896,9326000 
Pakistan,1289293,+244,28836 ,+6,1251409.0,+308,9048.0,731,5677,127,22564577,99357,227106308
Serbia,1275214,+1167,12209 ,+31,1231991.0,+2647,31014.0,168,146808,1406,6988132,804501,8686290
Sweden,1238689,+2715,15168 ,,1168188.0,+911,55333.0,48,121552,1488,13934770,1367412,10190614
Austria,1232204,+4170,13218 ,+56,1154192.0,+9332,64794.0,573,135691,1456,115218023,12687889,9080945
Hungary,1198939,+16017,36884 ,+455,991639.0,+22742,170416.0,565,124568,3832,8853922,919912,9624750
Portugal,1196602,+2314,18673 ,+15,1109391.0,+1878,68538.0,144,117850,1839,22855272,2250962,10153559
Switzerland,1131998,+4053,11855 ,+15,899546.0,+4110,220597.0,273,129424,1355,13189064,1507938,8746426
Jordan,1015289,+5256,12024 ,+42,936942.0,+5619,66323.0,1314,98095,1162,12789140,1235663,10350023
Greece,1006923,+4046,19345 ,+100,925850.0,+6104,61728.0,709,97295,1869,40719674,3934589,10349156
Kazakhstan,979975,+491,12864 ,+12,948757.0,+543,18354.0,528,51301,673,11575012,605947,19102348
Cuba,963693,+65,8313 ,,954986.0,+59,394.0,16,85158,735,11346153,1002613,11316583
Morocco,951544,+62,14798 ,+2,935358.0,+291,1388.0,103,25344,394,10571794,281577,37544890
Georgia,890813,+1527,12777 ,+46,837263.0,+4588,40773.0,,223932,3212,12155110,3055542,3978054
Nepal,824535,+313,11557 ,+3,807154.0,+376,5824.0,114,27580,387,4725194,158054,29896162
Slovakia,777227,+2370,15415 ,+61,657661.0,+5004,104151.0,580,142259,2821,4864939,890447,5463480
UAE,742894,+92,2151 ,,737967.0,+71,2776.0,,73819,214,104940646,10427682,10063660
Tunisia,719662,+76,25437 ,+5,692934.0,+166,1291.0,50,59982,2120,3233474,269502,11997948
Bulgaria,716647,+1959,29688 ,+152,591124.0,+3547,95835.0,606,104277,4320,6933195,1008829,6872517
Lebanon,690841,+787,8860 ,+12,642928.0,+2068,39053.0,186,101878,1307,4795578,707200,6781081
Belarus,675734,+1011,5289 ,+13,666249.0,+817,4196.0,,71546,560,10685725,1131386,9444812
Croatia,654655,+453,11666 ,+47,621408.0,+3926,21581.0,326,160907,2867,3580821,880129,4068519
Ireland,628306,+4683,5788 ,,488855.0,+4642,133663.0,108,125216,1154,9313992,1856204,5017764
Guatemala,622237,+69,16048 ,+12,605390.0,+206,799.0,5,33825,872,3189301,173372,18395748
Azerbaijan,604998,+518,8104 ,+16,577135.0,+871,19759.0,,58899,789,5683256,553292,10271717
Sri Lanka,573649,+747,14641 ,+27,545433.0,+382,13575.0,,26627,680,5726599,265816,21543507
Costa Rica,568224,+59,7333 ,,559232.0,+271,1659.0,68,110087,1421,2839020,550029,5161580
Denmark,562188,+7799,3023 ,+9,480239.0,+4317,78926.0,64,96566,519,98891624,16986446,5821796
Bolivia,553108,+522,19317 ,+12,504507.0,+800,29284.0,220,46465,1623,2606031,218923,11903849
Saudi Arabia,550304,+64,8855 ,+2,539554.0,+77,1895.0,31,15458,249,32016896,899359,35599686
Ecuador,533457,,33561 ,,443880.0,,56016.0,759,29585,1861,2075736,115118,18031368
Myanmar,526911,+250,19188 ,+5,503433.0,+326,4290.0,,9591,349,5809226,105740,54938894
S. Korea,523088,+5817,4293 ,+40,433564.0,+1958,85231.0,876,10190,84,15804065,307872,51333211
Lithuania,491979,+854,6998 ,+20,456507.0,+213,28474.0,125,184459,2624,6355241,2382792,2667140
Panama,481056,+275,7388 ,+2,470398.0,+113,3270.0,14,109004,1674,4314516,977637,4413210
Paraguay,463828,+73,16513 ,+8,446646.0,+48,669.0,58,63892,2275,1983877,273278,7259565
Slovenia,440635,+683,5425 ,+16,413046.0,+1024,22164.0,239,211910,2609,1997591,960679,2079353
Venezuela,439089,+406,5245 ,+6,427108.0,+632,6736.0,681,15505,185,3359014,118613,28319005
Palestine,434395,+410,4578 ,+2,425990.0,+213,3827.0,58,82379,868,2786115,528359,5273148
Kuwait,413760,+49,2466 ,,410930.0,+32,364.0,2,94853,565,5594468,1282512,4362117
Dominican Republic,410412,+147,4219 ,+1,404634.0,+245,1559.0,109,37291,383,2509341,228005,11005663
Uruguay,402719,+210,6145 ,,394321.0,+243,2253.0,14,115353,1760,4219579,1208634,3491197
Mongolia,385447,+94,2036 ,+3,313256.0,,70155.0,192,114894,607,4030048,1201277,3354802
Libya,378816,+711,5561 ,+8,365061.0,+1281,8194.0,,54064,794,1956200,279188,7006745
Honduras,378601,+4,10424 ,+3,122591.0,,245586.0,51,37363,1029,1126954,111217,10132918
Ethiopia,373240,+125,6833 ,+4,350412.0,+44,15995.0,152,3134,57,3937566,33065,119086709
Moldova,370003,+344,9393 ,+25,354811.0,+553,5799.0,132,92032,2336,2273501,565497,4020356
Egypt,369997,+799,21104 ,+44,307926.0,+1321,40967.0,90,3519,201,3693367,35131,105130877
Armenia,342604,+66,7819 ,+17,325832.0,+438,8953.0,,115305,2632,2451381,825026,2971279
Norway,322744,+4864,1136 ,,88952.0,,232656.0,109,58866,207,8837513,1611883,5482726
Oman,304724,+10,4113 ,,300103.0,+7,508.0,2,57553,777,25000000,4721741,5294657
Bosnia and Herzegovina,281903,+275,12999 ,+38,192218.0,,76686.0,,86707,3998,1432196,440513,3251197
Bahrain,278109,+44,1394 ,,276374.0,+19,341.0,1,155619,780,7647173,4279053,1787118
Singapore,273701,+339,798 ,+4,267697.0,+669,5206.0,30,46256,135,21098774,3565743,5917077
Latvia,262215,+271,4376 ,+1,248267.0,,9572.0,95,141285,2358,5454863,2939165,1855923
Kenya,256484,+149,5349 ,+1,248551.0,+36,2584.0,2,4622,96,2891893,52119,55486763
Qatar,245523,+169,613 ,,242483.0,+147,2427.0,10,87443,218,3067482,1092484,2807805 
Australia,230753,+1823,2106 ,+2,212104.0,+1256,16543.0,103,8899,81,50169205,1934878,25928876
Estonia,228596,+317,1865 ,+13,213368.0,+189,13363.0,18,172158,1405,2405699,1811752,1327830
North Macedonia,219490,+82,7740 ,+8,206211.0,+265,5539.0,,105359,3715,1503941,721921,2083250
Nigeria,217866,+385,2983 ,+2,210076.0,+2330,4807.0,11,1020,14,3629527,16997,213537161
Algeria,213058,+210,6151 ,+6,146519.0,+179,60388.0,26,4735,137,230861,5130,44998404
Zambia,211234,+157,3670 ,,206689.0,+19,875.0,21,11043,192,2781431,145403,19129145
Finland,205357,+4306,1442 ,+21,46000.0,,157915.0,52,36980,260,8184495,1473831,5553210
Albania,203925,+138,3140 ,+6,195436.0,+189,5349.0,23,70974,1093,1422708,495159,2873237
Botswana,196090,,2421 ,,192452.0,,1217.0,1,81015,1000,1929047,796992,2420411
Uzbekistan,195958,+211,1440 ,+4,192677.0,+216,1841.0,23,5734,42,1377915,40323,34172314
Kyrgyzstan,183991,+26,2770 ,,179040.0,+31,2181.0,131,27543,415,1868468,279703,6680189
Zimbabwe,172012,+4872,4740 ,+2,129951.0,+175,37321.0,12,11334,312,1715868,113061,15176547
Montenegro,159901,+113,2354 ,+4,155559.0,+220,1988.0,60,254546,3747,928747,1478470,628181
Afghanistan,157648,+14,7328 ,,141284.0,+81,9036.0,1124,3922,182,805328,20034,40198051
Mozambique,153787,+113,1945 ,+1,149964.0,+6,1878.0,13,4729,60,1003865,30866,32522854
Cyprus,141566,+715,611 ,+1,124370.0,,16585.0,52,116028,501,9477138,7767465,1220107
Namibia,133090,+241,3578 ,+1,126108.0,+162,3404.0,4,51040,1372,818078,313731,2607580
Ghana,131547,,1243 ,,129566.0,,738.0,5,4109,39,2018574,63056,32012479
Uganda,128033,+60,3269 ,+1,97797.0,+19,26967.0,74,2677,68,2026011,42358,47830972
El Salvador,121200,+73,3797 ,+2,104875.0,+119,12528.0,232,18550,581,1475681,225857,6533684
Cambodia,120370,+15,2989 ,+4,116720.0,+12,661.0,,7058,175,2740221,160675,17054384
Cameroon,107549,,1823 ,,102716.0,,3010.0,152,3911,66,1751774,63695,27502602
Rwanda,100713,+79,1344 ,,45522.0,,53847.0,2,7506,100,3676203,273994,13417092
Luxembourg,94300,+871,895 ,+5,88068.0,+1148,5337.0,25,147174,1397,3745927,5846279,640737
Maldives,93246,+127,258 ,,91028.0,+104,1960.0,23,168211,465,1803279,3253026,554339
Jamaica,91802,+37,2428 ,+3,63491.0,+40,25883.0,6,30807,815,683615,229407,2979918
Laos,90458,+1138,250 ,+3,7339.0,,82869.0,,12177,34,865722,116539,7428595
Trinidad and Tobago,81071,+464,2429 ,+22,64488.0,+539,14154.0,22,57658,1728,473172,336523,1406063
Senegal,74092,+6,1886 ,,72160.0,+6,46.0,2,4262,108,891914,51310,17382683
Angola,65431,+27,1737 ,,63519.0,+94,175.0,3,1905,51,1192540,34722,34345501
Réunion,63863,,391 ,,59685.0,,3787.0,34,70600,432,1347378,1489507,904580
Malawi,62380,+115,2308 ,,58863.0,+8,1209.0,67,3143,116,452086,22780,19845596
Ivory Coast,61907,+2,706 ,,60997.0,+14,204.0,,2266,26,1177883,43108,27324043
DRC,59851,,1118 ,,50930.0,,7803.0,,640,12,306299,3276,93501315
Guadeloupe,55284,,748 ,,2250.0,,52286.0,23,138133,1869,551264,1377392,400223
Eswatini,53509,+866,1252 ,+2,45903.0,+241,6354.0,11,45440,1063,405036,343955,1177583
Fiji,52593,+4,697 ,,51157.0,,739.0,,58058,769,465125,513458,905867
Suriname,51202,+18,1177 ,+1,29586.0,,20439.0,11,86162,1981,163529,275183,594255
Syria,49350,+78,2818 ,+4,30573.0,+100,15959.0,,2724,156,113162,6246,18116239
French Guiana,46510,+89,333 ,+1,11254.0,,34923.0,4,150086,1075,466594,1505676,309890
French Polynesia,46334,,636 ,,,,,7,163572,2245,,,283264
