Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99604,+87,4636 ,,93696.0,+37,1272.0,28,69,3,160000000,111163,1439323776 
USA,50762671,+57414,817789 ,+446,39986136.0,+34443,9958746.0,14935,152072,2450,773300851,2316605,333807743
India,34690510,+7774,475434 ,+306,34114331.0,+9265,100745.0,8944,24786,340,654627300,467723,1399605867
Brazil,22188179,+3355,616859 ,+126,21414318.0,+6619,157002.0,8318,103324,2873,63776166,296989,214742837
UK,10770661,+53812,146387 ,+132,9453429.0,+39312,1170845.0,900,157463,2140,374468898,5474580,68401397
Russia,9986967,+30288,288351 ,+1171,8709964.0,+36446,988652.0,2300,68392,1975,231000000,1581922,146024926
Turkey,9022223,+19255,78969 ,+191,8592094.0,+23180,351160.0,1128,105338,922,111562570,1302539,85650085
France,8214844,+53720,120383 ,+65,7294653.0,+42277,799808.0,2461,125451,1838,172371975,2632345,65482298
Germany,6501279,+37542,106208 ,+277,5368300.0,+39000,1026771.0,4636,77239,1262,87852398,1043735,84171180
Iran,6152524,+1681,130661 ,+58,5963373.0,+6356,58490.0,3126,71921,1527,39951481,467019,85545694
Argentina,5356885,+2445,116760 ,+12,5213678.0,+2414,26447.0,681,116975,2550,26663231,582231,45794974
Spain,5290190,,88381 ,,4943735.0,,258074.0,1056,113084,1889,66213858,1415402,46780959
Italy,5206302,+21039,134765 ,+96,4797658.0,+10205,273879.0,818,86292,2234,125490703,2079958,60333284
Colombia,5091508,+1813,129056 ,+45,4932304.0,+1775,30148.0,342,98546,2498,28587711,553314,51666366
Indonesia,4258980,+228,143929 ,+6,4109865.0,+190,5186.0,,15337,518,57921612,208575,277701960
Mexico,3914706,+2992,296385 ,+199,3269036.0,+2071,349285.0,4798,29908,2264,12046280,92034,130889685
Poland,3808796,+23762,88414 ,+486,3263563.0,+26546,456819.0,2104,100797,2340,25430252,672995,37786681
Ukraine,3553817,+10133,90789 ,+446,3184287.0,+25861,278741.0,177,81972,2094,16274905,375397,43353809
South Africa,3129622,+17153,90116 ,+36,2880472.0,+1617,159034.0,546,51825,1492,20176391,334109,60388725
Netherlands,2863838,+17712,20074 ,+70,2233027.0,+16202,610737.0,642,166602,1168,19205114,1117247,17189677
Philippines,2836190,+186,50096 ,+135,2774548.0,+535,11546.0,899,25394,449,24522686,219565,111687507
Malaysia,2688149,+4626,30862 ,+31,2596509.0,+4690,60778.0,396,81546,936,39173380,1188335,32964936
Czechia,2325209,+12399,34425 ,+98,2052961.0,+633,237823.0,1067,216546,3206,45400146,4228107,10737700
Peru,2251027,,201650 ,,,,,993,66925,5995,20753581,617020,33635157
Thailand,2164859,+4079,21149 ,+39,2090253.0,+7302,53457.0,1369,30903,302,14913135,212883,70053155
Iraq,2087497,+250,23965 ,+6,2054696.0,+615,8836.0,86,50271,577,16539839,398313,41524753
