Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100731,+87,4636 ,,94244.0,+59,1851.0,9,70,3,160000000,111163,1439323776 
USA,52986307,+197856,837671 ,+747,40994250.0,+29257,11154386.0,16167,158700,2509,798461897,2391488,333876557
India,34779815,+7158,479520 ,+387,34215977.0,+7051,84318.0,8944,24841,342,669809816,478406,1400087391
Brazil,22230737,+4164,618429 ,+201,21414318.0,,197990.0,8318,103497,2879,63776166,296914,214796423
UK,11891292,+122186,147857 ,+137,9961369.0,,1782066.0,842,173814,2161,395579689,5782142,68414037
Russia,10343353,+24703,302269 ,+998,9180379.0,+41213,860705.0,2300,70832,2070,237300000,1625040,146027142
Turkey,9266516,+18910,81258 ,+133,8900401.0,+20351,284857.0,1128,108150,948,116144239,1355522,85682302
France,8983760,+94124,122462 ,+167,7752717.0,+51445,1108581.0,3254,137183,1870,182873794,2792503,65487413
Germany,6982228,+27679,110908 ,+272,6048800.0,+56000,822520.0,4636,82943,1317,89622218,1064641,84180671
Iran,6181784,+1967,131306 ,+44,6022150.0,+2807,28328.0,2796,72231,1534,41286279,482407,85583878
Spain,5718007,,89019 ,,5002310.0,,626678.0,1515,122228,1903,66213858,1415383,46781600
Italy,5567669,+50624,136386 ,+141,4970584.0,+19804,460699.0,1038,92287,2261,134168351,2223903,60330139
Argentina,5445236,+16279,117008 ,+29,5253705.0,+5023,74523.0,830,118866,2554,27397741,598077,45809690
Colombia,5118254,+3060,129686 ,+46,4955539.0,+1897,33029.0,342,99027,2509,29228550,565506,51685618
Indonesia,4261412,+204,144047 ,+5,4112706.0,+182,4659.0,,15340,519,61632313,221855,277804630
Poland,4032797,+15393,94042 ,+597,3522816.0,+22246,415939.0,2061,106729,2489,26681046,706124,37785215
Mexico,3943764,+3363,298508 ,+149,3295433.0,+1522,349823.0,4798,30119,2280,12237083,93457,130937770
Ukraine,3637038,+6647,94432 ,+248,3408294.0,+14874,134312.0,177,83910,2179,16626864,383598,43344526
South Africa,3393109,+18847,90743 ,+81,3094902.0,,207464.0,546,56163,1502,20985692,347357,60415283
Netherlands,3040560,+12423,20661 ,+40,2491332.0,+23669,528567.0,548,176869,1202,19205114,1117160,17191020
Philippines,2837948,+226,51050 ,+69,2777449.0,+15,9449.0,899,25398,457,24937631,223177,111739317
Malaysia,2735241,+3528,31290 ,+25,2657074.0,+4489,46877.0,339,82937,949,40352701,1223563,32979665
Czechia,2442605,+7356,35666 ,+39,2243353.0,+587,163586.0,767,227464,3321,46569944,4336766,10738404
Peru,2272885,+1336,202454 ,+30,,,,884,67542,6016,21352702,634525,33651475
Thailand,2204672,+2671,21528 ,+27,2144952.0,+2766,38192.0,899,31469,307,17270775,246516,70059358
Iraq,2092156,+322,24115 ,+7,2062247.0,+466,5794.0,84,50344,580,16745526,402954,41556890
Belgium,2030878,+4421,28110 ,+30,1595493.0,+8548,407275.0,692,174110,2410,26752030,2293494,11664312
Canada,1957060,+11306,30139 ,+8,1816952.0,+2526,109969.0,455,51189,788,51486352,1346681,38232022
Romania,1801798,+717,58509 ,+42,1730994.0,+1280,12295.0,468,94595,3072,16871483,885755,19047572
Chile,1797631,+1399,38984 ,+30,1710145.0,+1980,48502.0,555,92857,2014,27018744,1395660,19359116
Japan,1730905,+303,18386 ,+3,1710822.0,+145,1697.0,34,13748,146,29038151,230639,125902937
Vietnam,1620869,+16157,30766 ,+235,1215261.0,+30833,374842.0,7767,16433,312,73609689,746283,98635054
Bangladesh,1582710,+342,28055 ,+1,1546956.0,+292,7699.0,1352,9471,168,11362254,67989,167118031
Israel,1362270,+1005,8241 ,,1342941.0,+333,11088.0,88,146072,884,37547800,4026142,9326000 
Pakistan,1292728,+322,28898 ,+4,1254301.0,+197,9529.0,652,5689,127,23048609,101431,227235429
Serbia,1288395,+1193,12544 ,+26,1252710.0,+1535,23141.0,100,148343,1444,7136798,821716,8685237
Sweden,1273313,,15229 ,,1179355.0,,78729.0,92,124926,1494,14208757,1394040,10192504
Portugal,1266037,+12943,18851 ,+11,1155239.0,+5628,91947.0,149,124700,1857,24854086,2448035,10152669
Austria,1260751,+2374,13617 ,+22,1214967.0,+3655,32167.0,418,138811,1499,119534266,13160962,9082487
Hungary,1237330,,38307 ,,1071772.0,,127251.0,454,128567,3980,9058668,941257,9624016
Switzerland,1221424,,12128 ,,951091.0,,258205.0,302,139618,1386,13812799,1578908,8748325
Greece,1064243,+7660,20292 ,+94,982679.0,+3153,61272.0,624,102849,1961,44727502,4322486,10347634
Jordan,1050257,+2304,12403 ,+31,991025.0,+4905,46829.0,1100,101444,1198,13282954,1282997,10353065
Kazakhstan,985016,+460,12960 ,+3,956046.0,+686,16010.0,528,51547,678,11575012,605733,19109097
