Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,101890,+207,4636 ,,94691.0,+59,2563.0,15,71,3,160000000,111163,1439323776 
USA,55252823,+572029,846189 ,+1584,41467660.0,+59369,12938974.0,17821,165473,2534,811323078,2429778,333908317
India,34838804,+16764,481080 ,+220,34258778.0,+7486,98946.0,8944,24879,344,676627418,483198,1400309632
Brazil,22277239,+13405,619024 ,+154,21567845.0,,90370.0,8318,103701,2882,63776166,296880,214821155
UK,12748040,+189210,148421 ,+332,10271706.0,+42145,2327913.0,868,186321,2169,404382130,5910302,68419871
Russia,10479344,+21073,307948 ,+926,9423227.0,+43004,748169.0,2300,71762,2109,240000000,1643519,146028164
France,9740600,+206243,123552 ,+180,8037752.0,+55155,1579296.0,3333,148735,1887,188795159,2882819,65489774
Turkey,9441764,+39681,82198 ,+139,9039344.0,+24854,320222.0,1128,110176,959,118321127,1380689,85697171
Germany,7142982,+41820,112512 ,+379,6332300.0,+54900,698170.0,4636,84849,1336,89622218,1064586,84185052
Spain,6294745,+161688,89405 ,+74,5056955.0,+7559,1148385.0,1803,134555,1911,66213858,1415374,46781896
Iran,6192698,+1936,131572 ,+45,6034821.0,+2206,26305.0,2713,72343,1537,41791485,488210,85601502
Italy,5981440,+126900,137247 ,+156,5064718.0,+22246,779475.0,1226,99148,2275,138913581,2302612,60328687
Argentina,5606745,+50506,117146 ,+35,5294529.0,+10619,195070.0,1004,122374,2557,27954322,610137,45816482
Colombia,5147039,+8436,129901 ,+35,4967873.0,+2656,49265.0,342,99566,2513,29565827,571934,51694504
Indonesia,4262540,+189,144088 ,+7,4114141.0,+399,4311.0,,15341,519,62956193,226582,277852017
Poland,4094602,+14319,96416 ,+710,3614290.0,+11588,383896.0,1930,108367,2552,27104556,717345,37784538
Mexico,3961662,+5290,299132 ,+188,3304774.0,+738,357756.0,4798,30251,2284,12328458,94139,130959963
Ukraine,3660620,+5930,95690 ,+278,3460249.0,+10369,104681.0,177,84462,2208,16757339,386646,43340242
South Africa,3446532,+12978,91061 ,+126,3159143.0,+13600,196328.0,546,57036,1507,21187864,350633,60427541
