Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99679,+75,4636 ,,93720.0,+24,1323.0,28,69,3,160000000,111163,1439323776 
USA,50922939,+88497,818766 ,+432,40039066.0,+31348,10065107.0,15001,152549,2453,775385678,2322814,333813037
India,34697860,+7350,475636 ,+202,34122795.0,+8464,99429.0,8944,24791,340,655816759,468560,1399642907
Brazil,22189867,+1688,616941 ,+82,21414318.0,,158608.0,8318,103330,2873,63776166,296983,214746959
UK,10818807,+48618,146439 ,+52,9490407.0,+36978,1181961.0,900,158164,2141,376784859,5508360,68402369
Russia,10016896,+29929,289483 ,+1132,8741355.0,+31391,986058.0,2300,68597,1982,231600000,1586029,146025097
Turkey,9040179,+17956,79151 ,+182,8614742.0,+22648,346286.0,1128,105545,924,111908324,1306538,85652564
France,8258692,+43848,120431 ,+48,7299854.0,+5201,838407.0,2602,126120,1839,172371975,2632329,65482691
Germany,6530912,+29633,106331 ,+123,5395300.0,+27000,1029281.0,4636,77590,1263,87852398,1043726,84171911
Iran,6154813,+2289,130722 ,+61,5969591.0,+6218,54500.0,3104,71945,1528,40054772,468211,85548631
Argentina,5358455,+1570,116771 ,+11,5216007.0,+2329,25677.0,693,117007,2550,26686014,582714,45796106
Spain,5323392,+16601,88449 ,+34,4950068.0,+3560,284875.0,1056,113794,1891,66213858,1415400,46781008
Italy,5225509,+19207,134839 ,+68,4805809.0,+8151,284861.0,829,86611,2235,125992518,2088284,60333042
Colombia,5093534,+2026,129107 ,+51,4933825.0,+1521,30602.0,342,98582,2499,28625046,554020,51667847
Indonesia,4259143,+163,143936 ,+7,4110049.0,+184,5158.0,,15337,518,58183343,209511,277709857
Mexico,3917361,+2655,296620 ,+235,3271058.0,+2022,349683.0,4798,29928,2266,12065033,92175,130893384
Poland,3828246,+19450,88479 ,+65,3289117.0,+25554,450650.0,2142,101312,2342,25609282,677735,37786568
Ukraine,3559092,+5275,91027 ,+238,3195913.0,+11626,272152.0,177,82095,2100,16294537,375856,43353095
South Africa,3167497,+37875,90137 ,+21,2913232.0,+32760,164128.0,546,52450,1493,20238805,335131,60390768
Netherlands,2880426,+16588,20112 ,+38,2249161.0,+16134,611153.0,637,167566,1170,19205114,1117240,17189780
Philippines,2836443,+253,50280 ,+184,2774860.0,+312,11303.0,899,25395,450,24673354,220906,111691492
Malaysia,2691639,+3490,30879 ,+17,2601908.0,+5399,58852.0,407,81649,937,39173380,1188294,32966069
Czechia,2334330,+9083,34536 ,+91,2072103.0,+261,227691.0,1012,217395,3216,45474681,4235027,10737755
Peru,2254373,+1527,201770 ,+37,,,,969,67022,5999,20854234,619990,33636412
Thailand,2168646,+3787,21169 ,+20,2095859.0,+5606,51618.0,1369,30957,302,14913135,212882,70053632
Iraq,2087837,+340,23978 ,+13,2055454.0,+758,8405.0,76,50276,577,16553566,398620,41527225
Belgium,1938251,+8479,27540 ,+36,1433411.0,+11912,477300.0,827,166193,2361,25785017,2210903,11662662
Canada,1836686,+4610,29926 ,+12,1769337.0,+3455,37423.0,469,48054,783,50051754,1309529,38221184
Romania,1793149,+716,57704 ,+45,1715859.0,+1620,19586.0,722,94120,3029,16418691,861794,19051756
Chile,1782804,+1577,38686 ,+40,1682379.0,+2932,61739.0,670,92117,1999,26341034,1361031,19353742
Japan,1728689,+141,18373 ,+1,1709386.0,+116,930.0,25,13729,146,28470838,226111,125915575
Bangladesh,1579325,+329,28028 ,+6,1544150.0,+288,7147.0,1369,9453,168,11120198,66562,167064277
Vietnam,1413051,+14638,27839 ,+228,1054720.0,+1295,330492.0,7596,14330,282,71322461,723305,98606368
Israel,1350215,+443,8216 ,+6,1336391.0,+834,5608.0,100,144780,881,36081323,3868896,9326000 
Pakistan,1289049,+288,28830 ,+7,1251101.0,+674,9118.0,740,5676,127,22525190,99189,227094569
Serbia,1274047,+944,12178 ,+30,1229344.0,+2596,32525.0,177,146672,1402,6976359,803137,8686385
Sweden,1229217,,15158 ,,1167277.0,+925,46782.0,48,120624,1487,13934770,1367435,10190443
Austria,1228034,+2479,13162 ,+19,1144860.0,+6138,70012.0,568,135234,1449,114668040,12627519,9080805
Portugal,1194288,+3879,18658 ,+13,1107513.0,+1397,68117.0,143,117622,1838,22787039,2244224,10153639
Hungary,1182922,,36429 ,,968897.0,,177596.0,573,122903,3785,8768881,911070,9624817
Switzerland,1127066,+5215,11826 ,+14,895436.0,+3931,219804.0,273,128863,1352,13030943,1489889,8746253
Jordan,1010033,+3897,11982 ,+41,931323.0,+3971,66728.0,1295,97590,1158,12733099,1230281,10349746
Greece,1002877,+3225,19245 ,+88,919746.0,+7414,63886.0,708,96903,1860,40616801,3924596,10349295
Kazakhstan,979484,+554,12852 ,+15,948214.0,+631,18418.0,528,51277,673,11575012,605967,19101735
Cuba,963628,+62,8313 ,,954927.0,+65,388.0,16,85152,735,11328647,1001064,11316602
Morocco,951482,+102,14796 ,,935067.0,+328,1619.0,103,25343,394,10567009,281459,37543695
Georgia,889286,+2922,12731 ,+36,832675.0,+4999,43880.0,,223547,3200,12133846,3050180,3978075
Nepal,824222,+242,11554 ,+1,806778.0,+234,5890.0,114,27571,386,4714778,157713,29894728
Slovakia,774857,+4913,15354 ,+50,652657.0,+7507,106846.0,581,141825,2810,4857976,889174,5463472
UAE,742802,+83,2151 ,,737896.0,+75,2755.0,,73813,214,104695497,10403660,10063333
Tunisia,719586,+152,25432 ,+5,692768.0,+151,1386.0,50,59977,2120,3229686,269194,11997610
Bulgaria,714688,+532,29536 ,+50,587577.0,+451,97575.0,629,103990,4298,6906046,1004858,6872659
Lebanon,690054,+1539,8848 ,+12,640860.0,,40346.0,186,101760,1305,4795578,707191,6781164
Belarus,674723,+1454,5276 ,+15,665432.0,+1977,4015.0,,71438,559,10671855,1129916,9444821
