Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99297,+94,4636 ,,93554.0,+47,1107.0,16,69,3,160000000,111163,1439323776 
USA,50294999,+122415,812580 ,+1947,39744837.0,+67667,9737582.0,14377,150680,2434,766621485,2296742,333786570
India,34656822,+8439,473952 ,+195,34079612.0,+10004,103258.0,8944,24764,339,649447014,464070,1399457705
Brazil,22157726,+10250,616067 ,+278,21386271.0,+15883,155388.0,8318,103191,2869,63776166,297011,214726349
UK,10559616,+45449,145826 ,+180,9300698.0,+41519,1113092.0,901,154386,2132,370541215,5417467,68397507
Russia,9864845,+31096,283644 ,+1182,8565091.0,+34615,1016110.0,2300,67556,1942,228800000,1566863,146024245
Turkey,8943837,+22687,78215 ,+198,8486689.0,+24366,378933.0,1128,104435,913,110159341,1286305,85640173
France,7987591,+59019,119899 ,+172,7211231.0,+20102,656461.0,2351,121984,1831,170480237,2603518,65480724
Germany,6270761,+51592,104361 ,+448,5170400.0,+50300,996000.0,4636,74503,1240,85782441,1019178,84168260
Iran,6141335,+3514,130356 ,+79,5936975.0,+6473,74004.0,3213,71800,1524,39415479,460817,85533945
Argentina,5346242,+3089,116703 ,+23,5205534.0,+1725,24005.0,687,116755,2549,26501999,578767,45790446
Spain,5246766,+10952,88237 ,+18,4937402.0,+3075,221127.0,814,112156,1886,66213858,1415408,46780761
Italy,5134305,+15743,134386 ,+88,4759038.0,+10584,240881.0,776,85098,2227,123331813,2044143,60334252
Colombia,5084466,+1704,128874 ,+53,4925444.0,+2011,30148.0,342,98421,2495,28431055,550345,51660442
Indonesia,4258076,+261,143893 ,+17,4108717.0,+420,5466.0,,15335,518,56549237,203656,277670368
Mexico,3902015,+752,295312 ,+110,3260084.0,+2408,346619.0,4798,29815,2256,11954353,91342,130874890
Poland,3704047,+19373,86204 ,+503,3184676.0,+16922,433167.0,2036,98024,2281,25095931,664140,37787133
Ukraine,3510610,+8655,88986 ,+467,3082619.0,+22878,339005.0,177,80970,2052,16119721,371793,43356666
South Africa,3051222,+13147,90002 ,+27,2864648.0,+3276,96572.0,546,50533,1491,19838883,328564,60380554
Philippines,2835223,+234,49590 ,+91,2772463.0,+606,13170.0,899,25389,444,24390103,218409,111671566
Netherlands,2790830,+17911,19770 ,+68,2181308.0,+11315,589752.0,620,162359,1150,19205114,1117274,17189264
Malaysia,2667999,+4965,30718 ,+66,2576870.0,+4817,60411.0,437,80946,932,38569695,1170183,32960404
Czechia,2262782,+15544,33986 ,+116,1971793.0,+683,257003.0,1009,210737,3165,44927649,4184188,10737484
Peru,2246633,+1487,201450 ,+29,,,,997,66804,5990,20623407,613242,33630136
Thailand,2148766,+3525,20995 ,+31,2061374.0,+6109,66397.0,1369,30674,300,14913135,212889,70051246
Iraq,2085586,+625,23919 ,+16,2051912.0,+952,9755.0,85,50237,576,16469999,396725,41514865
Belgium,1868906,+13844,27319 ,+43,1387296.0,+8688,454291.0,809,160256,2343,25383627,2176615,11661974
Canada,1815215,+2971,29827 ,+27,1756185.0,+3069,29203.0,497,47498,780,49518440,1295729,38216668
Romania,1788260,+1421,57276 ,+101,1705896.0,+2612,25088.0,834,93855,3006,16234994,852074,19053500
Chile,1775212,+1164,38535 ,+4,1670658.0,+2537,66019.0,698,91735,1991,26051962,1346250,19351503
Japan,1728015,+73,18365 ,+1,1708819.0,+108,831.0,28,13723,146,28204907,223989,125920841
Bangladesh,1578011,+291,28010 ,+5,1542908.0,+308,7093.0,1539,9447,168,11020857,65977,167041879
Israel,1347474,+804,8210  ,+1,1333483.0,+486,5781.0,106,144486,880,35400109,3795851,9326000 
Vietnam,1337523,+13840,26700 ,+217,1011656.0,+1249,299167.0,7019,13566,271,70146808,711468,98594416
Pakistan,1287393,+232,28784 ,+7,1246783.0,+319,11826.0,813,5670,127,22295147,98201,227035878
Serbia,1267112,+1884,11995 ,+40,1216373.0,+3048,38744.0,180,145865,1381,6911480,795624,8686864
Sweden,1222802,+3240,15152 ,+1,1163524.0,+866,44126.0,50,120005,1487,13934770,1367550,10189584
Austria,1207336,+4233,12921 ,+77,1098287.0,+11154,96128.0,670,132965,1423,113295295,12477312,9080104
Portugal,1172420,+3417,18572 ,+21,1093264.0,+4969,60584.0,133,115463,1829,21858506,2152690,10154044
Hungary,1161879,+4311,35835 ,+224,938836.0,+6632,187208.0,618,120713,3723,8679620,901765,9625151
Switzerland,1081095,+12666,11720 ,+19,878170.0,+1909,191205.0,234,123619,1340,12815047,1465349,8745390
Jordan,988159,+6392,11817 ,+30,911905.0,+4519,64437.0,1190,95489,1142,12511426,1209025,10348364
Greece,978402,+7009,18815 ,+99,889506.0,+6440,70081.0,697,94532,1818,38884429,3756954,10349987
Kazakhstan,976327,+545,12791 ,+6,943241.0,+1165,20295.0,528,51120,670,11575012,606064,19098667
Cuba,963269,+75,8311 ,+1,954427.0,+133,531.0,18,85119,734,11232726,992580,11316696
Morocco,950801,+158,14788 ,,933416.0,+367,2597.0,347,25329,394,10516973,280171,37537720
Georgia,871580,+4509,12466 ,+59,813872.0,+4042,45242.0,,219090,3134,11879804,2986242,3978179
Nepal,823102,+272,11545 ,+2,805205.0,+304,6352.0,114,27540,386,4679180,156559,29887560
UAE,742438,+62,2149 ,,737481.0,+81,2808.0,,73789,214,103192728,10255992,10061701
Slovakia,739544,+7049,15004 ,+104,606523.0,+6665,118017.0,629,135362,2746,4757235,870741,5463436
Tunisia,718696,+198,25407 ,+4,691923.0,+126,1366.0,53,59912,2118,3207178,267356,11995922
Bulgaria,707885,+2299,29163 ,+103,579059.0,+2016,99663.0,627,102990,4243,6767295,984567,6873369
Lebanon,681332,+1707,8795 ,+10,637834.0,+2840,34703.0,186,100468,1297,4795578,707148,6781580
Belarus,666137,+1012,5193 ,+17,655001.0,+1001,5943.0,,70529,550,10545014,1116481,9444863
Croatia,635027,+3262,11329 ,+60,598591.0,+3662,25107.0,319,156067,2784,3522521,865711,4068932
Guatemala,620435,+544,15999 ,+7,603346.0,+526,1090.0,5,33737,870,3158756,171762,18390308
Ireland,602726,+5565,5707 ,,465420.0,+3441,131599.0,117,120140,1138,9178076,1829446,5016860
Azerbaijan,598503,+1530,8004 ,+21,567385.0,+1864,23114.0,,58276,779,5621021,547313,10270220
Sri Lanka,569171,+748,14505 ,+21,543111.0,+423,11555.0,,26421,673,5695096,264371,21542039
Costa Rica,567706,+92,7324 ,+6,556781.0,+1132,3601.0,73,110003,1419,2715029,526085,5160819
Saudi Arabia,549997,+42,8847 ,+2,539141.0,+59,2009.0,33,15453,249,31787409,893136,35590792
Bolivia,544666,+1276,19247 ,+25,498782.0,+895,26637.0,220,45765,1617,2593083,217883,11901239
