Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100201,+125,4636 ,,93917.0,+33,1648.0,6,70,3,160000000,111163,1439323776 
USA,51698963,+88682,827214 ,+495,40515145.0,+40799,10356604.0,15725,154859,2478,785952372,2354245,333844797
India,34740275,+7081,477422 ,+264,34171471.0,+8706,91382.0,8944,24817,341,662897388,473544,1399865149
Brazil,22212343,+3323,617784 ,+137,21414318.0,,180241.0,8318,103423,2876,63776166,296949,214771691
UK,11278501,+90109,147173 ,+125,9741854.0,+44195,1389474.0,875,164871,2151,384287490,5617564,68408203
Russia,10186823,+27434,296180 ,+1076,8952266.0,+38041,938377.0,2300,69760,2028,234500000,1605877,146026119
Turkey,9154209,+17644,80244 ,+191,8762742.0,+25568,311223.0,1128,106858,937,114026345,1331035,85667433
France,8577376,+58536,121418 ,+85,7498715.0,+31486,957243.0,2933,130982,1854,178020146,2718485,65485052
Germany,6788546,+30953,108836 ,+230,5724100.0,+44700,955610.0,4636,80647,1293,87852398,1043672,84176291
Iran,6169011,+1361,131033 ,+41,5999860.0,+4126,38118.0,2909,72096,1531,40463565,472892,85566254
Spain,5455527,,88708 ,,4968287.0,,398532.0,1306,116618,1896,66213858,1415391,46781304
Argentina,5386453,+4163,116899 ,+7,5230733.0,+2181,38821.0,789,117601,2552,27005746,589608,45802898
Italy,5364896,+28108,135544 ,+123,4881836.0,+12430,347516.0,953,88923,2247,129802436,2151484,60331591
Colombia,5105285,+2016,129399 ,+54,4945520.0,+1556,30366.0,342,98793,2504,28919466,559623,51676733
Indonesia,4260380,+232,143998 ,+12,4111464.0,+214,4918.0,,15339,518,59985826,215965,277757244
Poland,3942864,+19397,91415 ,+543,3412313.0,+26092,439136.0,2088,104348,2419,26170850,692609,37785892
Mexico,3930015,+2750,297567 ,+211,3283899.0,+1955,348549.0,4798,30019,2273,12152050,92824,130915577
Ukraine,3604549,+7503,92929 ,+288,3324999.0,+18534,186621.0,177,83152,2144,16474655,380049,43348811
South Africa,3292609,+16080,90345 ,+48,2992289.0,+16872,209975.0,546,54511,1496,20985692,347428,60403026
Netherlands,2966744,+14616,20420 ,+50,2358453.0,+23531,587871.0,625,172581,1188,19205114,1117200,17190400
Philippines,2837374,+110,50675 ,+106,2776714.0,+281,9985.0,899,25398,454,24814389,222121,111715405
Malaysia,2715847,+4083,31073 ,+29,2630680.0,+5435,54094.0,391,82366,942,39642365,1202272,32972867
Czechia,2397266,+8966,35187 ,+64,2155341.0,+591,206738.0,889,223249,3277,46057471,4289172,10738079
Peru,2263739,+1856,202154 ,+34,,,,942,67285,6009,21125401,627911,33643944
Thailand,2188629,+3132,21353 ,+28,2123969.0,+3278,43307.0,1061,31241,305,14913135,212873,70056495
Iraq,2090208,+182,24051 ,+9,2059474.0,+480,6683.0,94,50315,579,16654158,400899,41542058
Belgium,1999764,+9604,27895 ,+36,1487522.0,,484347.0,804,171455,2392,26251807,2250768,11663487
Canada,1874473,+7566,30040 ,+8,1789630.0,+1409,54803.0,455,49036,786,50635831,1324623,38226603
Romania,1797706,+733,58160 ,+56,1723945.0,+816,15601.0,556,94369,3053,16657806,874441,19049664
Chile,1790524,+1415,38840 ,+28,1696375.0,+2572,55309.0,632,92503,2007,26696229,1379192,19356429
Japan,1729582,+181,18379 ,+1,1710085.0,+118,1118.0,26,13737,146,28773712,228527,125909256
Bangladesh,1580872,+122,28047 ,+4,1545403.0,+144,7422.0,1352,9461,168,11248742,67321,167091154
