Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100544,+77,4636 ,,94143.0,+80,1765.0,7,70,3,160000000,111163,1439323776 
USA,52521182,+236519,833306 ,+1637,40908146.0,+104606,10779730.0,16187,157312,2496,795166534,2381694,333865970
India,34765976,+7495,478759 ,+434,34201966.0,+6906,85251.0,8944,24833,342,667356171,476678,1400013310
Brazil,22222928,+3451,618128 ,+137,21414318.0,,190482.0,8318,103464,2878,63776166,296926,214788179
UK,11647473,+106122,147573 ,+140,9922480.0,+49382,1577420.0,849,170255,2157,392136238,5731973,68412092
Russia,10292983,+25264,300269 ,+1020,9097521.0,+42322,895193.0,2300,70487,2056,236300000,1618196,146026801
Turkey,9228835,+19095,80957 ,+179,8858445.0,+22816,289433.0,1128,107716,945,115432381,1347292,85677346
France,8798028,+84272,122116 ,+170,7651584.0,+48187,1024328.0,3025,134348,1865,178020146,2718420,65486626
Germany,6915353,+45858,110234 ,+475,5933400.0,+66500,871719.0,4636,82150,1310,89622218,1064660,84179211
Iran,6177885,+2103,131211 ,+44,6016324.0,+3629,30350.0,2821,72190,1533,41082066,480054,85578003
Spain,5645095,+60041,88937 ,+50,4997068.0,+5198,559090.0,1466,120669,1901,66213858,1415385,46781501
Italy,5472459,+36283,136092 ,+133,4933663.0,+17595,402704.0,1010,90708,2256,132337126,2193532,60330623
Argentina,5415501,+11121,116964 ,+11,5243498.0,+2986,55039.0,824,118223,2553,27221412,594258,45807426
Colombia,5112719,+1931,129586 ,+52,4952013.0,+1263,31120.0,342,98925,2507,29106481,563177,51682656
Indonesia,4261072,+179,144034 ,+10,4112292.0,+252,4746.0,,15339,519,61083259,219891,277788835
Poland,4000264,+18015,92829 ,+775,3484352.0,+8955,423083.0,2053,105868,2457,26493557,701158,37785440
Mexico,3937082,+2980,298161 ,+245,3292106.0,+1944,346815.0,4798,30070,2277,12196712,93154,130930373
Ukraine,3623079,+6363,93909 ,+301,3376899.0,+19494,152271.0,177,83585,2166,16566449,382191,43345954
South Africa,3353106,+21098,90587 ,+99,3052399.0,+9305,210120.0,546,55505,1500,20985692,347381,60411197
Netherlands,3014805,+13344,20581 ,+47,2444754.0,+22972,549470.0,595,175373,1197,19205114,1117173,17190813
Philippines,2837615,+92,50916 ,+122,2777401.0,+166,9298.0,899,25397,456,24937631,223193,111731346
Malaysia,2728203,+3519,31221 ,+29,2647587.0,+5118,49395.0,338,82729,947,40082542,1215455,32977399
Czechia,2427526,+11831,35545 ,+76,2214306.0,+603,177675.0,821,226062,3310,46366990,4317909,10738296
Peru,2269497,+1782,202375 ,+37,,,,911,67446,6014,21280472,632426,33648965
Thailand,2199061,+2532,21471 ,+31,2139388.0,+3191,38202.0,899,31389,306,17270775,246520,70058404
Iraq,2091522,+342,24095 ,+8,2061359.0,+490,6068.0,85,50335,580,16714393,402253,41551946
Belgium,2023285,+6131,28067 ,+41,1581230.0,+12109,413988.0,709,173464,2406,26671827,2286672,11664037
Canada,1924261,+14986,30113 ,+28,1809406.0,+4631,84742.0,455,50334,788,51335354,1342795,38230215
Romania,1800306,+851,58426  ,+44,1728635.0,+1200,13245.0,491,94513,3067,16797746,881852,19048269
Chile,1794750,+964,38900 ,+6,1706411.0,+2159,49439.0,587,92713,2009,26892021,1389178,19358220
Japan,1730335,+223,18381 ,+2,1710581.0,+168,1373.0,26,13743,146,28931897,229791,125905043
Vietnam,1588335,+16555,30251 ,+210,1173484.0,+13394,384600.0,8187,16104,307,73261638,742791,98630273
Bangladesh,1581986,+352,28052 ,+1,1546352.0,+281,7582.0,1352,9467,168,11325717,67774,167109072
Israel,1359174,+1127,8239 ,+4,1341898.0,+650,9037.0,79,145740,883,37251801,3994403,9326000 
Pakistan,1292047,+310,28892 ,+10,1253594.0,+296,9561.0,645,5687,127,22954234,101026,227211952
Serbia,1286025,+1268,12488 ,+27,1248374.0,,25163.0,103,148067,1438,7107851,818365,8685428
Sweden,1273313,+5076,15229 ,,1177307.0,+934,80777.0,92,124931,1494,14208757,1394087,10192160
Austria,1256230,+2269,13567 ,+29,1206524.0,+5065,36139.0,459,138318,1494,118688041,13068195,9082206
Portugal,1242545,+8937,18823 ,+11,1145663.0,+3754,78059.0,155,122384,1854,24244422,2387947,10152831
Hungary,1233744,+3359,38167 ,+139,1060360.0,+6072,135217.0,464,128193,3966,9037023,938994,9624150
Switzerland,1215127,+10582,12105 ,+24,941975.0,+3431,261047.0,295,138904,1384,13740056,1570655,8747980
Greece,1049936,+5635,20126 ,+71,974846.0,+5008,54964.0,665,101464,1945,43946034,4246851,10347910
Jordan,1045714,+2448,12329 ,+29,981010.0,+5151,52375.0,1209,101011,1191,13202625,1275306,10352512
Kazakhstan,984079,+416,12942 ,+6,954772.0,+801,16365.0,528,51501,677,11575012,605772,19107870
Cuba,964317,+80,8317 ,+1,955588.0,+70,412.0,13,85214,735,11497863,1016034,11316414
Morocco,953724,+427,14817 ,+3,936960.0,+177,1947.0,103,25395,395,10693132,284728,37555645
Georgia,916477,+2739,13221 ,+52,869411.0,+3072,33845.0,,230394,3324,12557153,3156755,3977867
Nepal,826423,+217,11579 ,+2,809659.0,+272,5185.0,114,27631,387,4791497,160202,29909065
Slovakia,816102,+5080,16198 ,+69,732840.0,+9364,67064.0,516,149372,2965,4999201,915011,5463544
UAE,745555,+665,2154 ,,739277.0,+294,4124.0,,74062,214,107885306,10717156,10066598
Bulgaria,730140,+1463,30359 ,+56,603811.0,+1305,95970.0,493,106260,4418,7217894,1050450,6871238
Tunisia,721797,+347,25491 ,+6,694517.0,+147,1789.0,85,60145,2124,3287197,273911,12000987
Lebanon,705477,+1922,8980 ,+15,650789.0,,45708.0,186,104048,1324,4795578,707278,6780333
Belarus,687948,+1654,5432 ,+17,679752.0,+1938,2764.0,,72839,575,10872829,1151205,9444736
Croatia,682759,+4226,12126 ,+36,648893.0,+1927,21740.0,266,167841,2981,3669665,902103,4067900
Ireland,672964,+6307,5890 ,+55,528759.0,+5630,138315.0,100,134080,1174,9313992,1855703,5019119
Denmark,653268,+12855,3158 ,+14,526066.0,+6569,124044.0,66,112201,542,103252368,17733961,5822296
Guatemala,624544,+373,16085 ,+4,607507.0,+236,952.0,5,33935,874,3237731,175926,18403909
Azerbaijan,612205,+648,8238 ,+16,590155.0,+1365,13812.0,,59588,802,5777429,562337,10273962
S. Korea,583065,+7450,4906 ,+78,463401.0,+3773,114758.0,1063,11358,96,15804065,307866,51334293
Sri Lanka,581595,+673,14811 ,+16,558226.0,+311,8558.0,,26994,687,5726599,265788,21545710
Bolivia,568967,+2376,19480 ,+21,513729.0,+1006,35758.0,220,47781,1636,2615853,219676,11907766
Costa Rica,568860,,7343 ,,560239.0,,1278.0,49,110186,1422,2911504,563947,5162723
Saudi Arabia,551462,+252,8867 ,+2,540393.0,+109,2202.0,30,15485,249,32536750,913619,35613027
Ecuador,538218,,33624 ,,443880.0,,60714.0,759,29838,1864,2103013,116588,18037960
Myanmar,528838,+199,19235 ,+5,506306.0,+210,3297.0,,9624,350,5937389,108055,54947849
Lithuania,506194,+1705,7203 ,+26,472260.0,+1311,26731.0,120,189855,2702,6500320,2438035,2666213
Panama,484793,+668,7405 ,,472731.0,+333,4657.0,18,109809,1677,4390473,994471,4414882
Paraguay,464895,+102,16593 ,+5,447319.0,+93,983.0,49,64020,2285,2007473,276446,7261719
Slovenia,451969,+1258,5518 ,+6,429171.0,+1847,17280.0,206,217360,2654,2037404,979823,2079360
Venezuela,442431,+253,5306 ,+7,430963.0,+272,6162.0,681,15624,187,3359014,118622,28317032
Palestine,437326,+291,4616 ,+2,428691.0,+374,4019.0,56,82889,875,2819430,534381,5276072
Kuwait,414413,+143,2466 ,,411178.0,+33,769.0,6,94969,565,5778849,1324309,4363671
Dominican Republic,412263,+241,4223 ,,406513.0,+4,1527.0,90,37450,384,2541818,230899,11008336
Uruguay,405681,+445,6159 ,+2,396293.0,+245,3229.0,20,116191,1764,4308305,1233944,3491492
Mongolia,387684,+328,2050 ,+3,313256.0,,72378.0,192,115516,611,4030048,1200812,3356102
Libya,383445,+561,5626 ,+11,371794.0,+609,6025.0,,54707,803,1990657,284013,7009043
Ethiopia,382371,+2992,6880 ,+3,351304.0,+136,24187.0,140,3209,58,4002474,33590,119156945
Honduras,378963,+120,10429 ,+1,123783.0,,244751.0,45,37385,1029,1135433,112011,10136794
Egypt,377960,+879,21500 ,+43,314452.0,+670,42008.0,90,3594,204,3693367,35115,105178410
Moldova,373373,+390,9557 ,+17,358603.0,,5213.0,155,92876,2377,2326057,578603,4020127
Norway,363554,+4290,1257 ,+8,88952.0,,273345.0,121,66296,229,9150693,1668687,5483767
Armenia,343997,+152,7921 ,+7,329281.0,+153,6795.0,,115769,2666,2509795,844646,2971415
Oman,304938,+42,4113 ,,300227.0,+11,598.0,2,57559,776,25000000,4718886,5297861
Bosnia and Herzegovina,286276,+552,13224 ,+20,192218.0,,80834.0,,88066,4068,1456145,447948,3250698
Bahrain,278875,+161,1394 ,,276672.0,+31,809.0,1,155920,779,7836847,4381603,1788580
Singapore,276720,+335,818 ,+1,272675.0,+494,3227.0,23,46757,138,21098774,3565062,5918207
Kenya,270899,+3328,5355 ,+1,249557.0,+83,15987.0,16,4880,96,2955176,53231,55515956
Latvia,269204,+748,4477 ,+11,254119.0,,10608.0,84,145091,2413,5544372,2988213,1855414
Australia,264917,+5710,2162 ,+8,225549.0,+1636,37206.0,111,10214,83,52483775,2023576,25936149
Qatar,247082,+185,614 ,,244145.0,+212,2323.0,11,87998,219,3120513,1111371,2807805 
Estonia,234091,+724,1895 ,+2,218561.0,+857,13635.0,16,176293,1427,2463174,1855008,1327851
Nigeria,231413,+4035,2991 ,+2,211853.0,+92,16569.0,11,1083,14,3686403,17253,213663177
Finland,224169,+2877,1501 ,+6,46000.0,,176668.0,61,40366,270,8423578,1516827,5553421
North Macedonia,222064,+320,7853 ,+15,208938.0,+214,5273.0,,106595,3770,1558639,748177,2083248
Zambia,221880,+2857,3685 ,,207709.0,+148,10486.0,196,11591,193,2851157,148949,19141855
Algeria,215430,+285,6205 ,+7,148217.0,+196,61008.0,26,4785,138,230861,5128,45017901
Albania,206616,+343,3180 ,+2,198263.0,+333,5173.0,23,71912,1107,1448218,504051,2873160
Botswana,204701,,2425 ,,193454.0,,8822.0,1,84532,1001,1985958,820108,2421581
Zimbabwe,199404,+1636,4828 ,+9,147669.0,+2922,46907.0,12,13134,318,1797506,118398,15181870
Uzbekistan,197566,+174,1468 ,+3,194479.0,+267,1619.0,23,5779,43,1377915,40308,34184247
Kyrgyzstan,184319,+50,2787 ,+1,179400.0,+48,2132.0,131,27581,417,1895279,283604,6682838
Mozambique,164862,+2337,1960 ,+3,151223.0,+706,11679.0,13,5066,60,1041472,32002,32544470
Montenegro,161672,+308,2381 ,+1,157214.0,+160,2077.0,60,257364,3790,944969,1504289,628183
Afghanistan,157855,+35,7344 ,+7,145344.0,+23,5167.0,1124,3925,183,814170,20243,40219662
Cyprus,147685,+883,624 ,+1,124370.0,,22691.0,60,121021,511,9477138,7766090,1220323
