Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,101277,+200,4636 ,,94483.0,+53,2158.0,13,70,3,160000000,111163,1439323776 
USA,53835605,+236945,840350 ,+876,41206407.0,+103966,11788848.0,16493,161236,2517,804580145,2409699,333892437
India,34799691,+6358,480290 ,+293,34237495.0,+7141,81906.0,8944,24853,343,672936621,480601,1400198512
Brazil,22246276,+6840,618575 ,+91,21414318.0,,213383.0,8318,103563,2880,63776166,296897,214808789
UK,12209205,+98253,148003 ,+143,10126656.0,+41324,1934546.0,842,178453,2163,395579689,5781896,68416954
Russia,10415230,+23210,305155 ,+937,9293486.0,+33715,816589.0,2300,71324,2090,238700000,1634622,146027653
Turkey,9333223,+26099,81733 ,+157,8965748.0,+22024,285742.0,1128,108919,954,117216275,1367915,85689737
France,9146451,+30383,122898 ,+256,7864949.0,+58923,1158604.0,3333,139665,1877,182873794,2792453,65488594
Germany,7028368,+18734,111304 ,+223,6156500.0,+43000,760564.0,4636,83489,1322,89622218,1064614,84182861
Iran,6186729,+1967,131434 ,+34,6028495.0,+2117,26800.0,2766,72281,1536,41592984,485941,85592690
Spain,5932626,+53654,89139 ,+30,5031961.0,+9228,811526.0,1515,126815,1905,66213858,1415378,46781748
Italy,5678099,+30797,136780 ,+147,5003855.0,+9992,537464.0,1126,94118,2267,135699123,2249303,60329413
Argentina,5480305,+20263,117066 ,+31,5270844.0,+6348,92395.0,880,119623,2555,27537879,601092,45813086
Colombia,5127971,+3281,129798 ,+37,4961099.0,+1971,37074.0,342,99206,2511,29352283,567852,51690061
Indonesia,4261879,+120,144063 ,+8,4113320.0,+271,4496.0,,15340,519,62247607,224051,277828324
Poland,4054872,+5036,94365 ,+38,3582296.0,+18862,378211.0,2069,107315,2497,26818933,709780,37784876
Mexico,3951003,+803,298777 ,+18,3298990.0,,353236.0,4798,30172,2282,12274679,93736,130948867
Ukraine,3646988,+1864,94971 ,+133,3432739.0,+4527,119278.0,177,84144,2191,16678842,384816,43342384
South Africa,3417318,+3778,90829 ,+15,3120012.0,+8055,206477.0,546,56558,1503,21076433,348824,60421412
Netherlands,3076442,+11432,20728 ,+12,2556730.0,+22020,498984.0,540,178953,1206,19205114,1117140,17191330
Philippines,2838690,+216,51211 ,+11,2777900.0,+153,9579.0,899,25402,458,25078068,224410,111751273
Malaysia,2743936,+2757,31369 ,+35,2669650.0,+4616,42917.0,297,83192,951,40669067,1233029,32983064
