Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99856,+76,4636 ,,93789.0,+26,1431.0,22,69,3,160000000,111163,1439323776 
USA,51154389,+122728,821700 ,+1802,40241357.0,+84813,10091332.0,15528,153238,2461,779668169,2335569,333823623
India,34710630,+6986,476135 ,+247,34138763.0,+7995,95732.0,8944,24798,340,657662933,469854,1399716988
Brazil,22195775,+3826,617121 ,+141,21414318.0,,164336.0,8318,103354,2874,63776166,296971,214755203
UK,10931136,+59050,146626 ,+149,9574546.0,+46232,1209964.0,900,159802,2144,379450849,5547177,68404314
Russia,10074797,+28343,291749 ,+1145,8804000.0,+34084,979048.0,2300,68993,1998,232400000,1591504,146025438
Turkey,9080452,+21477,79503 ,+181,8662026.0,+24042,338923.0,1128,106009,928,112617977,1314747,85657520
France,8334133,+63405,120832 ,+158,7362608.0,+32348,850693.0,2792,127271,1845,175073861,2673558,65483478
Germany,6600511,+40795,107166 ,+575,5497300.0,+61600,996045.0,4636,78416,1273,87852398,1043708,84173371
Iran,6160303,+2784,130831 ,+67,5980566.0,+5162,48906.0,3042,72004,1529,40258351,470558,85554505
Argentina,5366522,+4555,116826 ,+34,5220418.0,+2075,29278.0,739,117177,2551,26776841,584668,45798370
Spain,5366128,+26136,88542 ,+58,4958672.0,+4353,318914.0,1215,114707,1893,66213858,1415397,46781107
Italy,5258881,+20672,135070 ,+130,4826443.0,+13908,297368.0,863,87165,2239,127082617,2106369,60332558
Colombia,5097680,+1859,129205 ,+42,4938291.0,+2415,30184.0,342,98657,2501,28731851,556056,51670809
Indonesia,4259439,+190,143960 ,+12,4110574.0,+247,4905.0,,15337,518,58730148,211468,277725653
Mexico,3918987,+771,296721 ,+49,3275463.0,+2203,346803.0,4798,29939,2267,12074161,92239,130900782
Poland,3857083,+17458,89045 ,+537,3333313.0,+19070,434725.0,2132,102076,2357,25659484,679068,37786343
Ukraine,3570448,+7283,91602 ,+387,3233009.0,+27130,245837.0,177,82360,2113,16333417,376766,43351667
South Africa,3204642,+23857,90172 ,+24,2943570.0,+30273,170900.0,546,53062,1493,20352343,336988,60394854
Netherlands,2906969,+12760,20214 ,+74,2274967.0,+11996,611788.0,634,169108,1176,19205114,1117227,17189987
