Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99203,+61,4636 ,,93507.0,+37,1060.0,12,69,3,160000000,111163,1439323776 
USA,50162494,+91673,810483 ,+733,39675200.0,+122733,9676811.0,13997,150286,2428,764798583,2291317,333781277
India,34648383,+6822,473757 ,+220,34069608.0,+8834,105018.0,8944,24759,339,648259067,463234,1399420665
Brazil,22147476,+4385,615789 ,+115,21370388.0,+7835,161299.0,8318,103145,2868,63776166,297017,214722227
UK,10514650,+51262,145646 ,+41,9259179.0,+38553,1109825.0,900,153731,2129,369333562,5399887,68396535
Russia,9833749,+32136,282462 ,+1184,8530476.0,+28070,1020811.0,2300,67343,1934,228500000,1564810,146024075
Turkey,8921150,+20033,78017 ,+187,8462323.0,+25611,380810.0,1128,104173,911,109804024,1282193,85637694
France,7928572,+11308,119727 ,+192,7191129.0,+19749,617716.0,2066,121083,1828,167925512,2564518,65480330
Germany,6219169,+39330,103913 ,+309,5120100.0,+37600,995156.0,4636,73890,1235,85782441,1019187,84167530
Iran,6137821,+3356,130277 ,+77,5930502.0,+7186,77042.0,3232,71761,1523,39415479,460833,85531007
Argentina,5343153,+2477,116680 ,+34,5203809.0,+1969,22664.0,671,116690,2548,26452899,577709,45789314
Spain,5235814,+10952,88219 ,+20,4934327.0,+3271,213268.0,814,111922,1886,66213858,1415409,46780712
Italy,5118562,+9489,134298 ,+95,4748454.0,+5567,235810.0,743,84836,2226,122636677,2032613,60334494
Colombia,5082762,+1698,128821 ,+41,4923433.0,+2122,30508.0,342,98391,2494,28382350,549418,51658961
Indonesia,4257815,+130,143876 ,+9,4108297.0,+2005,5642.0,,15334,518,56152356,202232,277662471
Mexico,3901263,+970,295202 ,+48,3257676.0,+1874,348385.0,4798,29810,2256,11949792,91310,130871191
Poland,3684674,+13253,85701 ,+26,3167754.0,+25489,431219.0,1989,97511,2268,25000916,661623,37787245
Ukraine,3501955,+4478,88519 ,+239,3059741.0,+9082,353695.0,177,80770,2042,16089778,371097,43357380
South Africa,3038075,+6381,89975 ,+9,2861372.0,+3228,86728.0,546,50317,1490,19785993,327699,60378511
Philippines,2834989,+378,49499 ,+113,2771857.0,+580,13633.0,899,25388,443,24390103,218417,111667580
Netherlands,2772919,+20965,19702 ,+34,2169993.0,+11928,583224.0,618,161318,1146,19205114,1117280,17189161
Malaysia,2663034,+4262,30652 ,+38,2572053.0,+5894,60329.0,463,80798,930,38474592,1167337,32959271
Czechia,2247186,+6330,33866 ,+103,1962273.0,+222,251047.0,1014,209285,3154,44333278,4128854,10737430
Peru,2245146,+1731,201421 ,+42,,,,976,66762,5990,20580665,611994,33628881
Thailand,2145241,+4000,20964 ,+22,2055265.0,+6450,69012.0,1369,30624,299,14913135,212890,70050769
Iraq,2084961,+615,23903 ,+18,2050960.0,+927,10098.0,91,50225,576,16451108,396294,41512393
Belgium,1855062,+12301,27276 ,+52,1378608.0,+10386,449178.0,804,159071,2339,25109681,2153150,11661837
