Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,101077,+206,4636 ,,94430.0,+76,2011.0,9,70,3,160000000,111163,1439323776 
USA,53222424,+96384,837854 ,+52,41031018.0,+29834,11353552.0,16199,159405,2509,799548809,2394706,333881850
India,34789397,+2595,479682 ,,34230354.0,+7091,79361.0,8944,24847,343,671997082,479955,1400124431
Brazil,22239436,+4810,618484 ,+27,21414318.0,,206634.0,8318,103535,2879,63776166,296909,214800545
UK,11891292,,147857 ,,9961369.0,,1782066.0,842,173811,2161,395579689,5782060,68415009
Russia,10392020,+23721,304218 ,+968,9259771.0,+37285,828031.0,2300,71165,2083,238300000,1631887,146027312
Turkey,9307124,+20138,81576 ,+173,8943724.0,+21214,281824.0,1128,108621,952,116853740,1363763,85684780
France,9116068,+27697,122642 ,+96,7806026.0,+11224,1187400.0,3254,139203,1873,182873794,2792486,65487807
Germany,7009634,+10158,111081 ,+56,6113500.0,+26200,785053.0,4636,83268,1320,89622218,1064632,84181401
Iran,6184762,+1857,131400 ,+52,6026378.0,+2167,26984.0,2774,72263,1535,41491521,484789,85586815
Spain,5718007,,89019 ,,5002310.0,,626678.0,1515,122228,1903,66213858,1415381,46781649
Italy,5647313,+24883,136611 ,+81,4993863.0,+8428,516839.0,1089,93607,2264,135355155,2243583,60329897
Argentina,5460042,+7623,117035 ,+15,5264496.0,+5416,78511.0,820,119187,2555,27467347,599582,45810822
Colombia,5124690,+3022,129761 ,+32,4959128.0,+1794,35801.0,342,99148,2511,29313779,567139,51687099
Indonesia,4261759,+92,144055 ,+2,4113049.0,+148,4655.0,,15340,519,62036721,223304,277812528
Poland,4049838,+6252,94327 ,+16,3563434.0,+19606,392077.0,2028,107181,2496,26681046,706126,37785102
Mexico,3950200,+2916,298759 ,+89,3298990.0,+1569,352451.0,4798,30168,2282,12272528,93725,130941469
Ukraine,3645124,+2810,94838 ,+138,3428212.0,+4279,122074.0,177,84098,2188,16669943,384598,43343812
South Africa,3413540,+5603,90814 ,+41,3111957.0,+9240,210769.0,546,56499,1503,21059203,348562,60417326
Netherlands,3065010,+11886,20716 ,+11,2534710.0,+21234,509584.0,544,178290,1205,19205114,1117153,17191123
Philippines,2838640,+433,51200 ,+13,2777918.0,+283,9522.0,899,25403,458,25078068,224426,111743302
Malaysia,2741179,+2778,31334 ,+19,2665034.0,+3539,44811.0,306,83114,950,40585669,1230585,32980798
Czechia,2445741,+1086,35749 ,+20,2259601.0,+90,150391.0,708,227755,3329,46616780,4341106,10738458
Peru,2278807,,202488 ,,,,,875,67715,6017,21507541,639102,33652731
Thailand,2209970,+2532,21580 ,+22,2152528.0,+3771,35862.0,899,31544,308,17270775,246515,70059835
Iraq,2092484,+172,24130 ,+8,2062983.0,+335,5371.0,80,50349,581,16766798,403442,41559362
Belgium,2038111,,28149 ,,1595493.0,,414469.0,660,174728,2413,26828439,2300018,11664449
Canada,1980908,+10409,30146 ,+3,1819617.0,+1873,131145.0,455,51812,788,51486352,1346650,38232925
Romania,1802745,+349,58551 ,+15,1732591.0,+588,11603.0,443,94646,3074,16902077,887377,19047223
Chile,1800280,+1155,39034 ,+21,1715430.0,+2645,45816.0,552,92992,2016,27130137,1401382,19359563
Japan,1731515,+316,18387 ,+1,1711072.0,+128,2056.0,38,13753,146,29132328,231389,125901883
Vietnam,1651673,+15218,31214 ,+207,1248240.0,+18556,372219.0,7582,16745,316,73996693,750189,98637444
Bangladesh,1583253,+268,28060 ,+4,1547427.0,+247,7766.0,1352,9474,168,11393025,68172,167122510
Israel,1364966,+1135,8242 ,,1343968.0,+288,12756.0,98,146361,884,37741674,4046931,9326000 
Pakistan,1293440,+359,28907 ,+2,1254859.0,+446,9674.0,631,5692,127,23148807,101866,227247167
Serbia,1290469,+976,12594 ,+26,1256219.0,+1651,21656.0,99,148584,1450,7158932,824274,8685141
Portugal,1279785,+3732,18874 ,+13,1159192.0,+1594,101719.0,151,126055,1859,25162551,2478437,10152588
Sweden,1273313,,15229 ,,1183577.0,+2115,74507.0,92,124924,1494,14208757,1394016,10192675
Austria,1264553,+1717,13634 ,+8,1221433.0,+2828,29486.0,383,139228,1501,120214287,13235630,9082627
Hungary,1237330,,38307 ,,1071772.0,,127251.0,454,128568,3980,9058668,941263,9623950
Switzerland,1221424,,12128 ,,967497.0,+8433,241799.0,302,139615,1386,13812799,1578877,8748498
Greece,1074869,+4036,20429 ,+79,992309.0,+5678,62131.0,624,103877,1974,45229958,4371102,10347495
Jordan,1052868,+1447,12487 ,+43,997546.0,+3854,42835.0,1050,101694,1206,13336915,1288175,10353341
Kazakhstan,985857,+399,12974 ,+5,957267.0,+633,15616.0,528,51589,679,11575012,605714,19109710
Cuba,964729,+122,8320 ,,955864.0,+66,545.0,10,85251,735,11536661,1019468,11316357
Morocco,956119,+532,14828 ,+1,937705.0,+127,3586.0,103,25456,395,10760434,286492,37559230
Georgia,924368,+1661,13512 ,+69,881863.0,+3841,28993.0,,232381,3397,12725000,3199001,3977804
Nepal,827271,+213,11585 ,+2,810780.0,+283,4906.0,114,27656,387,4820530,161150,29913366
Slovakia,825629,+383,16398 ,+62,758521.0,+4867,50710.0,482,151115,3001,5037243,921970,5463566
UAE,751333,+1803,2158 ,+2,741325.0,+618,7850.0,,74629,214,109285607,10855204,10067577
Bulgaria,734720,+838,30574 ,+46,605807.0,+260,98339.0,456,106934,4450,7304397,1063106,6870811
Tunisia,722795,,25523 ,,695094.0,,2178.0,79,60223,2127,3317178,276385,12002000
Ireland,715726,+10404,5890 ,,545638.0,+4619,164198.0,91,142587,1173,9736837,1939775,5019571
Lebanon,712570,+1311,9042 ,+15,652174.0,,51354.0,186,105098,1334,4795578,707304,6780084
Denmark,699608,+14200,3210 ,+13,551192.0,+5979,145206.0,73,120157,551,104988220,18031582,5822463
Belarus,693584,+983,5499 ,+15,686275.0,+1236,1810.0,,73436,582,10959782,1160415,9444711
Croatia,693253,+151,12325 ,+46,661757.0,+2785,19171.0,267,170429,3030,3701046,909863,4067694
Guatemala,625166,+39,16097 ,+1,607893.0,+52,1176.0,5,33964,875,3248274,176473,18406630
Azerbaijan,614630,+511,8297 ,+13,595098.0,+1178,11235.0,,59820,808,5817708,566216,10274710
S. Korea,607463,+5418,5245 ,+69,494205.0,+4262,108013.0,1081,11833,102,15804065,307863,51334653
Sri Lanka,583649,+398,14884 ,+13,559436.0,+308,9329.0,,27088,691,5726599,265779,21546444
Bolivia,576602,+1355,19546 ,+16,519431.0,+1332,37625.0,220,48417,1641,2633963,221173,11909071
Costa Rica,568860,,7343 ,,560239.0,,1278.0,49,110178,1422,2911504,563906,5163104
Saudi Arabia,552795,+389,8871 ,+1,540868.0,+124,3056.0,33,15520,249,32809383,921160,35617474
Ecuador,540122,,33641 ,,443880.0,,62601.0,759,29940,1865,2103013,116574,18040157
Myanmar,529613,+110,19254 ,+3,507210.0,+175,3149.0,,9638,350,5981375,108850,54950834
Lithuania,511580,+673,7287 ,+19,478006.0,+274,26287.0,115,191897,2733,6550328,2457076,2665904
Panama,487767,+563,7416 ,+5,473719.0,+291,6632.0,18,110469,1680,4432384,1003838,4415439
Paraguay,465338,+105,16601 ,+2,447626.0,+78,1111.0,47,64075,2286,2018655,277958,7262437
Slovenia,456057,+676,5542 ,+7,434425.0,+779,16090.0,197,219325,2665,2053764,987689,2079362
Venezuela,443167,,5313 ,,431741.0,,6113.0,681,15651,188,3359014,118624,28316375
Palestine,438263,+176,4639 ,+7,429946.0,+277,3678.0,54,83051,879,2828576,536015,5277046
Kuwait,415151,+240,2468 ,,411340.0,+41,1343.0,4,95127,566,5862681,1343361,4364189
Dominican Republic,414226,+339,4238 ,+1,407250.0,,2738.0,74,37625,385,2558377,232385,11009227
Uruguay,407381,+282,6163 ,,397251.0,+245,3967.0,25,116675,1765,4338004,1242415,3491590
Ethiopia,398696,+2946,6898 ,+4,352987.0,+856,38811.0,193,3345,58,4052568,34004,119180357
Mongolia,388515,+204,2054 ,,313256.0,,73205.0,192,115749,612,4030048,1200657,3356535
Libya,385398,+735,5651 ,+10,373506.0,+622,6241.0,,54980,806,2005263,286065,7009809
Egypt,381343,+823,21608 ,+37,317199.0,+543,42536.0,90,3625,205,3693367,35110,105194255
Honduras,379073,,10430 ,,123783.0,,244860.0,50,37391,1029,1135703,112023,10138087
Moldova,374526,+177,9613 ,+8,360413.0,+202,4500.0,155,93165,2391,2326057,578614,4020050
Norway,374337,+2214,1257 ,,88952.0,,284128.0,121,68258,229,9213931,1680113,5484114
Armenia,344481,+102,7943 ,+1,330593.0,+282,5945.0,,115930,2673,2535650,853335,2971460
Oman,305105,+47,4114 ,+1,300291.0,+56,700.0,3,57579,776,25000000,4717935,5298929
Australia,301960,+9424,2190 ,+2,232856.0,+3592,66914.0,132,11641,84,53660610,2068757,25938573
Bosnia and Herzegovina,287276,,13269 ,,192218.0,,81789.0,,88378,4082,1461608,449652,3250532
Kenya,282554,+1196,5361 ,+2,249996.0,+59,27197.0,17,5089,97,2990670,53861,55525687
Bahrain,279805,+287,1394 ,,276863.0,+55,1548.0,1,156397,779,7918187,4425873,1789068
Singapore,277764,+209,822 ,+1,274204.0,+344,2738.0,18,46931,139,21098774,3564835,5918583
Latvia,271431,+203,4503 ,+3,257569.0,+472,9359.0,83,146305,2427,5566431,3000377,1855244
Qatar,248092,+296,615 ,+1,244748.0,+133,2729.0,13,88358,219,3143849,1119682,2807805 
Nigeria,237561,+1547,3022 ,+8,212550.0,+193,21989.0,11,1112,14,3751696,17555,213705182
Estonia,236565,+433,1909 ,+2,220819.0,+143,13837.0,21,178155,1438,2485466,1871785,1327859
Zambia,233120,+1539,3702 ,+5,211473.0,+1447,17945.0,252,12176,193,2893560,151131,19146091
Finland,230392,,1507 ,,46000.0,,182885.0,59,41486,271,8501077,1530763,5553491
North Macedonia,223211,+279,7904 ,+10,210475.0,+156,4832.0,,107146,3794,1574100,755599,2083247
Algeria,216637,+261,6238 ,+9,148985.0,+196,61414.0,38,4812,139,230861,5127,45024400
Botswana,208994,,2427 ,,195479.0,,11088.0,1,86291,1002,1997064,824561,2421971
Albania,207709,+167,3194 ,+5,199386.0,+253,5129.0,23,72294,1112,1460890,508466,2873134
Zimbabwe,204351,+605,4891 ,+6,162211.0,+2237,37249.0,12,13459,322,1810625,119248,15183644
Uzbekistan,198242,+143,1479 ,+2,195193.0,+189,1570.0,23,5799,43,1377915,40304,34188224
Kyrgyzstan,184477,+38,2795 ,+3,179589.0,+44,2093.0,131,27601,418,1905600,285111,6683721
Mozambique,171502,+527,1968 ,+1,151305.0,+15,18229.0,13,5269,60,1056667,32461,32551676
Montenegro,163373,+545,2394 ,+5,157979.0,+187,3000.0,60,260072,3811,954972,1520211,628184
Afghanistan,157951,+49,7354 ,+2,145474.0,+82,5123.0,1124,3927,183,817297,20317,40226866
Cyprus,150760,+912,628 ,,124370.0,,25762.0,60,123534,515,9477138,7765632,1220395
Namibia,145637,+1008,3610 ,+2,129505.0,+935,12522.0,27,55819,1384,860787,329918,2609091
Ghana,136436,+1881,1274 ,+5,130050.0,+129,5112.0,5,4259,40,2073433,64726,32033788
Uganda,134348,+1116,3275 ,+1,98207.0,+10,32866.0,85,2806,68,2109457,44058,47878563
El Salvador,121741,,3818 ,,107088.0,,10835.0,91,18630,584,1505621,230402,6534755
Cambodia,120449,+4,3008 ,,116861.0,+8,580.0,,7060,176,2759313,161723,17061972
Cameroon,108676,+225,1851 ,,106050.0,+315,775.0,13,3948,67,1751774,63645,27524333
Laos,106231,+851,325 ,+8,7339.0,,98567.0,,14294,44,904796,121742,7432058
Rwanda,105027,+515,1347 ,+1,45522.0,,58158.0,2,7822,100,3905062,290822,13427651
Luxembourg,98983,,907 ,,92159.0,,5917.0,18,154402,1415,3795724,5920901,641072
Maldives,94864,+132,261 ,,92558.0,+119,2045.0,23,171033,471,1860944,3355156,554652
Jamaica,92705,+192,2463 ,+1,65032.0,+150,25210.0,3,31106,826,700367,234996,2980341
Trinidad and Tobago,89829,+465,2768 ,+30,70220.0,+175,16841.0,22,63880,1968,501389,356553,1406211
Senegal,74412,+59,1890 ,,72317.0,+25,205.0,,4277,109,912419,52446,17397199
Réunion,71795,,401 ,,65494.0,,5900.0,34,79350,443,1347378,1489163,904789
Angola,71752,+610,1749 ,+3,64016.0,+21,5987.0,3,2087,51,1253293,36455,34379178
Malawi,71007,+325,2332 ,+4,59567.0,+4,9108.0,67,3575,117,477167,24024,19861857
DRC,70059,,1126 ,,50930.0,,18003.0,,749,12,846704,9047,93590991
Eswatini,64443,+62,1277 ,+5,54943.0,+1107,8223.0,11,54707,1084,425045,360826,1177977
Ivory Coast,63847,,707 ,,61245.0,,1895.0,,2335,26,1208604,44198,27345525
Guadeloupe,56035,,750 ,,2250.0,,53035.0,23,140008,1874,607573,1518075,400226
Fiji,52815,,697 ,,51221.0,,897.0,,58290,769,469654,518336,906080
Suriname,51578,+15,1186 ,,49082.0,,1310.0,3,86769,1995,167219,281311,594427
Syria,50089,+38,2875 ,+4,31916.0,+125,15298.0,,2763,159,146269,8068,18130218
Madagascar,49590,,1027 ,,44708.0,,3855.0,22,1725,36,320884,11163,28745051
Martinique,47300,,769 ,,104.0,,46427.0,1,126190,2052,466711,1245117,374833
French Guiana,47229,,337 ,,11254.0,,35638.0,5,152281,1087,481773,1553385,310144
French Polynesia,46376,,636 ,,,,,7,163689,2245,,,283317
Malta,46250,+572,475 ,+1,39597.0,+94,6178.0,5,104334,1072,1211456,2732887,443288
Sudan,46100,,3298 ,,38292.0,,4510.0,,1016,73,562941,12409,45365524
Mauritania,40504,+51,862 ,,38984.0,+27,658.0,15,8385,178,552697,114416,4830606
Guyana,39107,+21,1048 ,+3,37327.0,+26,732.0,7,49366,1323,418833,528708,792182
Cabo Verde,39072,+59,351 ,,38172.0,+3,549.0,23,69161,621,389139,688814,564941
Gabon,38039,,286 ,,36221.0,,1532.0,5,16513,124,1469004,637724,2303512
Papua New Guinea,36110,,589 ,,35374.0,,147.0,7,3926,64,249149,27087,9198141
Belize,31503,,592 ,,30415.0,,496.0,4,77152,1450,375152,918761,408324
Guinea,31117,+79,389 ,,29803.0,,925.0,49,2278,28,570956,41797,13660153
Togo,28268,+276,246 ,,26052.0,+2,1970.0,,3300,29,608946,71088,8566080
Lesotho,28126,+531,665 ,,14933.0,+130,12528.0,,12977,307,318124,146774,2167436
Barbados,27673,+44,260 ,,26444.0,+64,969.0,,96121,903,465055,1615352,287897
Tanzania,26483,,734 ,,,,,7,425,12,,,62252702
Haiti,25950,,765 ,,23064.0,,2121.0,,2235,66,132422,11407,11608620
Benin,24935,,161 ,,24705.0,,69.0,5,1980,13,604310,47986,12593337
Seychelles,24197,,131 ,,23742.0,,324.0,,243798,1320,,,99250
Burundi,23657,,38 ,,773.0,,22846.0,,1906,3,345742,27849,12414919
Channel Islands,23627,,112 ,,20939.0,,2576.0,,134062,635,1123134,6372753,176240
Bahamas,23539,,713 ,,21745.0,,1081.0,2,59022,1788,180017,451379,398816
Somalia,23532,,1333 ,,12948.0,,9251.0,,1422,81,391308,23645,16549599
Mauritius,23208,+38,762 ,,21761.0,+47,685.0,,18204,598,358675,281336,1274899
Iceland,22087,,37 ,,19428.0,,2622.0,3,64108,107,1331380,3864359,344528
Andorra,21730,,139 ,,19870.0,,1721.0,31,280575,1795,235283,3037948,77448
Mayotte,21391,,185 ,,2964.0,,18242.0,,75703,655,176919,626122,282563
Mali,20079,+68,654 ,+1,17961.0,+435,1464.0,,951,31,528646,25037,21114189
Timor-Leste,19833,,122 ,,19704.0,,7.0,,14630,90,225317,166206,1355652
Congo,19490,,367 ,,12421.0,,6702.0,,3408,64,301494,52716,5719213
Curaçao,19049,+165,186 ,,17532.0,+29,1331.0,3,115386,1127,382142,2314764,165089
Aruba,17648,+148,181 ,,16584.0,+19,883.0,6,164261,1685,177885,1655684,107439
Nicaragua,17442,,211 ,,4225.0,,13006.0,,2587,31,,,6741413
Tajikistan,17095,,124 ,,16966.0,,5.0,,1735,13,,,9854938
Burkina Faso,17040,,317 ,,16250.0,,473.0,,783,15,239193,10996,21751803
Taiwan,16915,+24,850 ,,15812.0,+10,253.0,,708,36,9118614,381840,23880734
Brunei ,15429,,98 ,,15189.0,,142.0,,34774,221,677619,1527232,443691
South Sudan,14843,+266,135 ,,12789.0,+72,1919.0,1,1303,12,294475,25858,11388310
New Zealand,13855,+70,50 ,+1,12361.0,+239,1444.0,26,2770,10,5525818,1104700,5002100 
Equatorial Guinea,13630,,175 ,,13410.0,,45.0,1,9265,119,263190,178897,1471182
Djibouti,13572,+4,189 ,,13331.0,+5,52.0,,13447,187,256952,254585,1009297
Isle of Man,13443,+5,67 ,,12932.0,+161,444.0,1,156861,782,133676,1559813,85700
Saint Lucia,13302,+27,295 ,,12829.0,,178.0,3,71952,1596,106236,574646,184872
Hong Kong,12590,+9,213 ,,12189.0,,188.0,,1659,28,29687335,3912823,7587190
New Caledonia,12581,,280 ,,12103.0,,198.0,4,43447,967,42756,147654,289568
CAR,11961,,101 ,,6859.0,,5001.0,2,2414,20,74519,15042,4954208
Yemen,10115,+4,1983 ,,7005.0,+3,1127.0,23,328,64,265253,8612,30798961
Gambia,10087,,342 ,,9688.0,,57.0,4,4007,136,131044,52060,2517169
Cayman Islands,8386,,11 ,,4799.0,,3576.0,11,125415,165,215963,3229788,66866
Gibraltar,8148,+5,100 ,,7484.0,,564.0,1,241953,2969,443639,13173744,33676
Eritrea,7886,+13,73 ,+1,7658.0,+21,155.0,,2179,20,23693,6547,3619183
San Marino,7526,,98 ,,6551.0,,877.0,5,221112,2879,102145,3000999,34037
Niger,7271,+3,274 ,,6881.0,+2,116.0,2,285,11,202524,7941,25502658
Sierra Leone,6744,+38,123 ,,,,,,821,15,259958,31635,8217305
Dominica,6520,,44 ,,6173.0,,303.0,,90241,609,121399,1680240,72251
Guinea-Bissau,6466,+4,149 ,,6299.0,+2,18.0,,3174,73,110626,54311,2036886
Bermuda,6014,,106 ,,5674.0,,234.0,,97099,1711,685295,11064388,61937
Grenada,5956,,200 ,,5681.0,,75.0,,52570,1765,91343,806233,113296
Liechtenstein,5934,+39,69 ,,5438.0,,427.0,17,154975,1802,80413,2100104,38290
Liberia,5929,,287 ,,5535.0,,107.0,2,1133,55,139824,26716,5233731
St. Vincent Grenadines,5828,,81 ,,5151.0,,596.0,7,52286,727,93622,839938,111463
