Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100644,+100,4636 ,None,94185,+42,1823,10,70,3,160000000,111163,1439323776 
USA,52788451,+267269,836924 ,+1297,40964993,+56847,10986534,16128,158110,2507,797357949,2388220,333871263
India,34772657,+6681,479133 ,+374,34208926,+6960,84598,8944,24837,342,668643929,477586,1400050350
Brazil,22226573,+3645,618228 ,+100,21414318,None,194027,8318,103479,2878,63776166,296920,214792301
UK,11769106,+119517,147720 ,+147,9961369,+38889,1660017,872,172030,2159,393792547,5756102,68413065
Russia,10318650,+25667,301271 ,+1002,9139166,+41645,878213,2300,70663,2063,236800000,1621618,146026971
Turkey,9247606,+18771,81125 ,+168,8880050,+21605,286431,1128,107932,947,115788134,1351405,85679824
France,8889636,+91608,122295 ,+179,7701272,+49688,1066069,3147,135747,1867,182873794,2792520,65487020
Germany,6954549,+39196,110636 ,+402,5992800,+59400,851113,4636,82615,1314,89622218,1064651,84179941
Iran,6179817,+1932,131262 ,+51,6019343,+3019,29212,2807,72210,1534,41183363,481221,85580941
Spain,5718007,+72912,89019 ,+82,5002310,+5242,626678,1515,122228,1903,66213858,1415384,46781550
Italy,5517045,+44586,136245 ,+153,4950780,+17117,430020,1023,91447,2258,133238576,2208482,60330381
Argentina,5428957,+13456,116979 ,+15,5248682,+5184,63296,832,118514,2554,27302336,596010,45808558
Colombia,5115194,+2475,129640 ,+54,4953642,+1629,31912,342,98970,2508,29166085,564314,51684137
Indonesia,4261208,+136,144042 ,+8,4112524,+232,4642,None,15339,519,61372344,220925,277796733
Poland,4017404,+17140,93445 ,+616,3500570,+16218,423389,2080,106322,2473,26591417,703750,37785327
Mexico,3940401,+3319,298359 ,+198,3293911,+1805,348131,4798,30095,2279,12216584,93303,130934071
Ukraine,3630391,+7312,94184 ,+275,3393420,+16521,142787,177,83755,2173,16598851,382945,43345240
South Africa,3374262,+21156,90662 ,+75,3094902,+42503,188698,546,55853,1501,20985692,347369,60413240
Netherlands,3028137,+13332,20621 ,+40,2467663,+22909,539853,572,176148,1200,19205114,1117166,17190916
Philippines,2837722,+107,50981 ,+65,2777434,+33,9307,899,25397,456,24937631,223185,111735331
Malaysia,2731713,+3510,31265 ,+44,2652585,+4998,47863,329,82833,948,40221291,1219620,32978532
Czechia,2435247,+7694,35622 ,+73,2221051,+550,178574,794,226780,3317,46466585,4327162,10738350
Peru,2271549,+2052,202424 ,+49,N/A,N/A,N/A,890,67505,6016,21333592,633981,33650220
Thailand,2202001,+2940,21501 ,+30,2142186,+2798,38314,899,31431,307,17270775,246518,70058881
Iraq,2091834,+312,24108 ,+13,2061781,+422,5945,96,50340,580,16729836,402601,41554418
Belgium,2026457,+3172,28080 ,+13,1586945,+5715,411432,709,173733,2407,26671827,2286645,11664174
Canada,1945754,+21493,30131 ,+18,1814426,+5020,101197,455,50895,788,51486352,1346713,38231119
Romania,1801081,+775,58465 ,+37,1729714,+1079,12902,453,94555,3069,16837470,883953,19047921
Chile,1796232,+1482,38954 ,+54,1708165,+1754,49113,581,92787,2012,26960138,1392665,19358668
Japan,1730602,+267,18383 ,+2,1710677,+96,1542,28,13745,146,28987157,230232,125903990
Vietnam,1604712,+16377,30531 ,+280,1184428,+10944,389753,7493,16270,310,73432477,744505,98632664
Bangladesh,1582368,+382,28054 ,+2,1546664,+312,7650,1352,9469,168,11345341,67890,167113551
Israel,1361265,+2091,8241 ,+2,1342608,+710,10416,79,145965,884,37251801,3994403,9326000 
Pakistan,1292406,+359,28894 ,+2,1254104,+510,9408,666,5688,127,23000798,101225,227223691
Serbia,1287202,+1177,12518 ,+30,1251175,+2801,23509,104,148204,1441,7122142,820020,8685332
Sweden,1273313,None,15229 ,None,1179355,+2048,78729,92,124929,1494,14208757,1394063,10192332
Austria,1258377,+2147,13595 ,+28,1211312,+4788,33470,430,138552,1497,119026243,13105231,9082346
Portugal,1253094,+10549,18840 ,+17,1149611,+3948,84643,155,123424,1856,24494256,2412574,10152750
Hungary,1237330,+3586,38307 ,+140,1071772,+11412,127251,454,128566,3980,9058668,941250,9624083
Switzerland,1221424,+6297,12128 ,+23,951091,+9116,258205,302,139621,1386,13812799,1578939,8748153
Greece,1056583,+6647,20198 ,+72,979526,+4680,56859,655,102107,1952,44275964,4278792,10347772
Jordan,1047953,+2239,12372 ,+43,986120,+5110,49461,1138,101224,1195,13243053,1279177,10352788
Kazakhstan,984556,+477,12957 ,+15,955360,+588,16239,528,51525,678,11575012,605753,19108483
Cuba,964406,+89,8317 ,None,955679,+91,410,16,85222,735,11517561,1017777,11316395
Morocco,954199,+475,14823 ,+6,937133,+173,2243,103,25407,395,10710227,285174,37556840
Georgia,918641,+2164,13289 ,+68,873178,+3767,32174,None,230939,3341,12600590,3167692,3977846
Nepal,826664,+241,11581 ,+2,809922,+263,5161,114,27638,387,4801007,160512,29910499
Slovakia,819493,+3391,16239 ,+41,741294,+8454,61960,502,149993,2972,5012732,917486,5463552
UAE,746557,+1002,2154 ,None,739616,+339,4787,None,74159,214,108250575,10753093,10066924
Bulgaria,732106,+1966,30436 ,+77,605051,+1240,96619,479,106549,4430,7252489,1055507,6871096
Tunisia,722123,+326,25509 ,+18,694680,+163,1934,82,60170,2126,3293865,274458,12001325
Lebanon,707123,+1646,8996 ,+16,652174,+1385,45953,186,104292,1327,4795578,707286,6780250
Belarus,689151,+1203,5449 ,+17,681250,+1498,2452,None,72967,577,10897301,1153797,9444728
Croatia,686590,+3831,12179 ,+53,651995,+3102,22416,266,168785,2994,3680897,904880,4067831
Ireland,680375,+7411,5890 ,None,532365,+3606,142120,98,135553,1173,9736837,1939891,5019270
Denmark,665142,+11874,3173 ,+15,533037,+6971,128932,72,114239,545,103773583,17823310,5822352
Guatemala,624866,+322,16089 ,+4,607673,+166,1104,5,33951,874,3244302,176275,18404816
