Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99371,+74,4636 ,None,93602,+48,1133,22,69,3,160000000,111163,1439323776 
USA,50424897,+129232,814181 ,+1366,39815866,+71029,9794850,14473,151067,2439,768344446,2301867,333791863
India,34666241,+9419,474111 ,+159,34089137,+9525,102993,8944,24771,339,650660144,464925,1399494746
Brazil,22167781,+10055,616298 ,+231,21399316,+13045,152167,8318,103235,2870,63776166,297006,214730471
UK,10610114,+51060,145987 ,+161,9340390,+39692,1123737,880,155122,2134,371694121,5434245,68398479
Russia,9895597,+30752,284823 ,+1179,8602067,+36976,1008707,2300,67767,1951,229200000,1569601,146024415
Turkey,8964711,+20874,78407 ,+192,8516522,+29833,369782,1128,104676,916,110515595,1290427,85642651
France,8048931,+61340,120032 ,+133,7231425,+20194,697474,2426,122920,1833,170480237,2603502,65481117
Germany,6339593,+68832,104932 ,+571,5225700,+55300,1008961,4636,75320,1247,85782441,1019169,84168990
Iran,6144644,+3309,130446 ,+90,5943467,+6492,70731,3185,71836,1525,39632983,463344,85536882
Argentina,5348123,+1881,116708 ,+5,5206911,+1377,24504,692,116793,2549,26536077,579497,45791578
Spain,5259221,+12455,88271 ,+34,4939507,+2105,231443,814,112423,1887,66213858,1415406,46780811
Italy,5152253,+17948,134472 ,+86,4768578,+9540,249203,791,85396,2229,123896511,2053510,60334010
Colombia,5086381,+1915,128929 ,+55,4927104,+1660,30348,342,98455,2496,28478384,551245,51661923
Indonesia,4258340,+264,143909 ,+16,4109068,+351,5363,None,15336,518,56927434,205012,277678266
Mexico,3905319,+3304,295601 ,+289,3262422,+2338,347296,4798,29839,2259,11976549,91509,130878589
Poland,3732590,+28543,86795 ,+591,3194731,+10055,451064,2026,98780,2297,25210982,667186,37787020
Ukraine,3519981,+9371,89436 ,+450,3109423,+26804,321122,177,81188,2063,16160332,372736,43355952
South Africa,3071064,+19842,90038 ,+36,2867966,+3318,113060,546,50860,1491,19912794,329777,60382597
Philippines,2835434,+211,49760 ,+170,2773009,+546,12665,899,25390,446,24522686,219589,111675551
Netherlands,2808892,+18062,19842 ,+72,2193044,+11736,596006,633,163409,1154,19205114,1117267,17189367
Malaysia,2673019,+5020,30746 ,+28,2581395,+4525,60878,428,81095,933,38730402,1175018,32961537
Czechia,2282262,+19480,34082 ,+96,1972443,+650,275737,1040,212550,3174,45056810,4196196,10737538
Peru,2248447,+1814,201490 ,+40,N/A,N/A,N/A,987,66856,5991,20674445,614737,33631391
Thailand,2152384,+3618,21033 ,+38,2067149,+5775,64202,1369,30726,300,14913135,212887,70051723
Iraq,2086192,+606,23931 ,+12,2052656,+744,9605,97,50249,576,16488181,397140,41517337
Belgium,1879784,+10878,27360 ,+41,1395359,+8063,457065,817,161187,2346,25457760,2182946,11662112
Canada,1818742,+3527,29852 ,+25,1758980,+2795,29910,497,47589,781,49600916,1297856,38217571
Romania,1789539,+1279,57362 ,+86,1707968,+2072,24209,807,93924,3011,16277670,854330,19053151
