Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,101890,+207,4636 ,None,94691,+59,2563,15,71,3,160000000,111163,1439323776 
USA,55252823,+572029,846189 ,+1584,41467660,+59369,12938974,17821,165473,2534,811323078,2429778,333908317
India,34838804,+16764,481080 ,+220,34258778,+7486,98946,8944,24879,344,676627418,483198,1400309632
Brazil,22277239,+13405,619024 ,+154,21567845,None,90370,8318,103701,2882,63776166,296880,214821155
UK,12748040,+189210,148421 ,+332,10271706,+42145,2327913,868,186321,2169,404382130,5910302,68419871
Russia,10479344,+21073,307948 ,+926,9423227,+43004,748169,2300,71762,2109,240000000,1643519,146028164
France,9740600,+206243,123552 ,+180,8037752,+55155,1579296,3333,148735,1887,188795159,2882819,65489774
Turkey,9441764,+39681,82198 ,+139,9039344,+24854,320222,1128,110176,959,118321127,1380689,85697171
Germany,7142982,+41820,112512 ,+379,6332300,+54900,698170,4636,84849,1336,89622218,1064586,84185052
Spain,6294745,+161688,89405 ,+74,5056955,+7559,1148385,1803,134555,1911,66213858,1415374,46781896
Iran,6192698,+1936,131572 ,+45,6034821,+2206,26305,2713,72343,1537,41791485,488210,85601502
Italy,5981440,+126900,137247 ,+156,5064718,+22246,779475,1226,99148,2275,138913581,2302612,60328687
Argentina,5606745,+50506,117146 ,+35,5294529,+10619,195070,1004,122374,2557,27954322,610137,45816482
Colombia,5147039,+8436,129901 ,+35,4967873,+2656,49265,342,99566,2513,29565827,571934,51694504
Indonesia,4262540,+189,144088 ,+7,4114141,+399,4311,None,15341,519,62956193,226582,277852017
Poland,4094602,+14319,96416 ,+710,3614290,+11588,383896,1930,108367,2552,27104556,717345,37784538
Mexico,3961662,+5290,299132 ,+188,3304774,+738,357756,4798,30251,2284,12328458,94139,130959963
Ukraine,3660620,+5930,95690 ,+278,3460249,+10369,104681,177,84462,2208,16757339,386646,43340242
South Africa,3446532,+12978,91061 ,+126,3159143,+13600,196328,546,57036,1507,21187864,350633,60427541
Netherlands,3116039,+14778,20892 ,+40,2622324,+22105,472823,500,181253,1215,21107399,1227771,17191640
Philippines,2841018,+1381,51372 ,+132,2777761,None,11885,899,25420,460,25217292,225631,111763229
Malaysia,2754513,+3997,31462 ,+34,2677406,None,45645,281,83504,954,41025673,1243712,32986463
Czechia,2469980,+6149,36101 ,+67,2304252,+389,129627,637,230007,3362,46866575,4364257,10738729
Peru,2292254,+4760,202653 ,+69,N/A,N/A,N/A,905,68102,6021,21725629,645463,33659007
Thailand,2220324,+3037,21672 ,+25,2165253,+3115,33399,899,31691,309,17270775,246506,70062221
Canada,2142310,+39836,30280 ,+32,1878245,+13446,233785,455,56027,792,52560743,1374588,38237441
Iraq,2093436,+300,24154 ,+3,2064527,+356,4755,86,50357,581,16817837,404550,41571723
Belgium,2075781,+12945,28267 ,+17,1706312,+15535,341202,580,177947,2423,27122517,2325092,11665137
Romania,1807223,+1497,58715 ,+37,1737543,+1371,10965,402,94890,3083,17051755,895318,19045480
Chile,1804682,+1791,39096 ,+33,1723688,+1382,41898,531,93208,2019,27301171,1410053,19361803
Japan,1732835,+466,18393 ,+4,1711828,+198,2614,46,13764,146,29312089,232827,125896617
Vietnam,1714742,+19868,32168 ,+240,1336644,+34102,345930,7336,17382,326,74637039,756589,98649397
Bangladesh,1585027,+509,28070 ,+7,1548811,+395,8146,1349,9483,168,11472815,68640,167144908
Israel,1380053,+5600,8243 ,None,1349030,+1472,22780,92,147979,884,37741674,4046931,9326000 
Portugal,1358817,+28659,18937 ,+16,1181456,+6239,158424,144,133845,1865,26078371,2568745,10152184
Sweden,1314784,None,15271  ,None,1192194,+2638,107319,106,128982,1498,14931240,1464776,10193534
Switzerland,1307201,+11788,12284 ,+7,1004795,+11461,290122,314,149405,1404,14211787,1624323,8749361
Serbia,1297147,+1949,12688 ,+23,1260458,None,24001,91,149361,1461,7221585,831533,8684663
Pakistan,1294861,+482,28921 ,+3,1255931,+535,10009,639,5697,127,23324549,102613,227305859
