Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99923 ,67 ,4636 ,,93827 ,38 ,1460 ,17 ,69 ,3 ,160000000 ,111163 ,1439323776 
USA,51290979 ,136590 ,823390 ,1690 ,40343561 ,102204 ,10124028 ,15556 ,153647 ,2467 ,781366086 ,2340655 ,333823623 
India,34718669 ,8039 ,476478 ,343 ,34146931 ,8168 ,95260 ,8944 ,24804 ,340 ,658847816 ,470701 ,1399716988 
Brazil,22201221 ,5446 ,617348 ,227 ,21414318 ,,169555 ,8318 ,103379 ,2875 ,63776166 ,296971 ,214755203 
UK,11010286 ,78610 ,146791 ,165 ,9617941 ,43395 ,1245554 ,896 ,160959 ,2146 ,380861666 ,5567802 ,68404314 
Russia,10103160 ,28363 ,292891 ,1142 ,8839633 ,35633 ,970636 ,2300 ,69188 ,2006 ,232800000 ,1594243 ,146025438 
Turkey,9100324 ,19872 ,79696 ,193 ,8687265 ,25239 ,333363 ,1128 ,106241 ,930 ,112975302 ,1318919 ,85657520 
France,8399846 ,65713 ,120983 ,151 ,7395914 ,33306 ,882949 ,2843 ,128274 ,1848 ,175073861 ,2673558 ,65483478 
Germany,6656161 ,55650 ,107675 ,509 ,5559700 ,62400 ,988786 ,4636 ,79077 ,1279 ,87852398 ,1043708 ,84173371 
Iran,6162954 ,2651 ,130883 ,52 ,5985735 ,5169 ,46336 ,3004 ,72035 ,1530 ,40362269 ,471773 ,85554505 
Spain,5393268 ,27140 ,88619 ,77 ,4961880 ,3208 ,342769 ,1245 ,115287 ,1894 ,66213858 ,1415397 ,46781107 
Argentina,5371341 ,4819 ,116857 ,31 ,5222213 ,1795 ,32271 ,742 ,117282 ,2552 ,26836671 ,585974 ,45798370 
Italy,5282076 ,23195 ,135178 ,117 ,4841245 ,14802 ,305653 ,870 ,87549 ,2241 ,127717255 ,2116888 ,60332558 
Colombia,5099746 ,2066 ,129256 ,51 ,4940312 ,2021 ,30178 ,342 ,98697 ,2502 ,28778306 ,556955 ,51670809 
Indonesia,4259644 ,205 ,143969 ,9 ,4110811 ,237 ,4864 ,,15338 ,518 ,59039281 ,212581 ,277725653 
Mexico,3921682 ,2695 ,296983 ,262 ,3277620 ,2157 ,347079 ,4798 ,29959 ,2269 ,12094380 ,92393 ,130900782 
Poland,3881348 ,24265 ,89714 ,669 ,3344222 ,10909 ,447412 ,2114 ,102718 ,2374 ,25659484 ,679068 ,37786343 
Ukraine,3578557 ,8109 ,91958 ,356 ,3259316 ,26307 ,227283 ,177 ,82547 ,2121 ,16371425 ,377642 ,43351667 
South Africa,3231031 ,26389 ,90226 ,54 ,2949209 ,5639 ,191596 ,546 ,53498 ,1494 ,20436207 ,338377 ,60394854 
Netherlands,2920438 ,13469 ,20255 ,41 ,2294090 ,19123 ,606093 ,625 ,169892 ,1178 ,19205114 ,1117227 ,17189987 
Philippines,2836727 ,49 ,50449 ,100 ,2776045 ,337 ,10233 ,899 ,25396 ,452 ,24734754 ,221440 ,111699463 
Malaysia,2703140 ,3900 ,30989 ,33 ,2615162 ,4552 ,56989 ,384 ,81992 ,940 ,39369907 ,1194173 ,32968335 
Czechia,2367103 ,16696 ,34878 ,100 ,2099920 ,606 ,232305 ,966 ,220445 ,3248 ,45745637 ,4260218 ,10737863 
Peru,2258456 ,1660 ,201992 ,90 ,N/A,N/A,N/A,941 ,67138 ,6005 ,20969226 ,623362 ,33638923 
Thailand,2178276 ,3370 ,21258 ,29 ,2110701 ,4557 ,46317 ,1061 ,31094 ,303 ,14913135 ,212879 ,70054586 
Iraq,2089259 ,426 ,24017 ,10 ,2057506 ,573 ,7736 ,91 ,50305 ,578 ,16608469 ,399894 ,41532169 
Belgium,1968269 ,9076 ,27685 ,54 ,1466281 ,9073 ,474303 ,838 ,168763 ,2374 ,26085622 ,2236625 ,11662937 
Canada,1851057 ,5801 ,29994 ,25 ,1780679 ,3199 ,40384 ,455 ,48428 ,785 ,50364181 ,1317641 ,38222990 
