Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,101077,+206,4636 ,None,94430,+76,2011,9,70,3,160000000,111163,1439323776 
USA,53222424,+96384,837854 ,+52,41031018,+29834,11353552,16199,159405,2509,799548809,2394706,333881850
India,34789397,+2595,479682 ,None,34230354,+7091,79361,8944,24847,343,671997082,479955,1400124431
Brazil,22239436,+4810,618484 ,+27,21414318,None,206634,8318,103535,2879,63776166,296909,214800545
UK,11891292,None,147857 ,None,9961369,None,1782066,842,173811,2161,395579689,5782060,68415009
Russia,10392020,+23721,304218 ,+968,9259771,+37285,828031,2300,71165,2083,238300000,1631887,146027312
Turkey,9307124,+20138,81576 ,+173,8943724,+21214,281824,1128,108621,952,116853740,1363763,85684780
France,9116068,+27697,122642 ,+96,7806026,+11224,1187400,3254,139203,1873,182873794,2792486,65487807
Germany,7009634,+10158,111081 ,+56,6113500,+26200,785053,4636,83268,1320,89622218,1064632,84181401
Iran,6184762,+1857,131400 ,+52,6026378,+2167,26984,2774,72263,1535,41491521,484789,85586815
Spain,5718007,None,89019 ,None,5002310,None,626678,1515,122228,1903,66213858,1415381,46781649
Italy,5647313,+24883,136611 ,+81,4993863,+8428,516839,1089,93607,2264,135355155,2243583,60329897
Argentina,5460042,+7623,117035 ,+15,5264496,+5416,78511,820,119187,2555,27467347,599582,45810822
Colombia,5124690,+3022,129761 ,+32,4959128,+1794,35801,342,99148,2511,29313779,567139,51687099
Indonesia,4261759,+92,144055 ,+2,4113049,+148,4655,None,15340,519,62036721,223304,277812528
Poland,4049838,+6252,94327 ,+16,3563434,+19606,392077,2028,107181,2496,26681046,706126,37785102
Mexico,3950200,+2916,298759 ,+89,3298990,+1569,352451,4798,30168,2282,12272528,93725,130941469
Ukraine,3645124,+2810,94838 ,+138,3428212,+4279,122074,177,84098,2188,16669943,384598,43343812
South Africa,3413540,+5603,90814 ,+41,3111957,+9240,210769,546,56499,1503,21059203,348562,60417326
Netherlands,3065010,+11886,20716 ,+11,2534710,+21234,509584,544,178290,1205,19205114,1117153,17191123
Philippines,2838640,+433,51200 ,+13,2777918,+283,9522,899,25403,458,25078068,224426,111743302
Malaysia,2741179,+2778,31334 ,+19,2665034,+3539,44811,306,83114,950,40585669,1230585,32980798
Czechia,2445741,+1086,35749 ,+20,2259601,+90,150391,708,227755,3329,46616780,4341106,10738458
Peru,2278807,None,202488 ,None,N/A,N/A,N/A,875,67715,6017,21507541,639102,33652731
Thailand,2209970,+2532,21580 ,+22,2152528,+3771,35862,899,31544,308,17270775,246515,70059835
Iraq,2092484,+172,24130 ,+8,2062983,+335,5371,80,50349,581,16766798,403442,41559362
Belgium,2038111,None,28149 ,None,1595493,None,414469,660,174728,2413,26828439,2300018,11664449
Canada,1980908,+10409,30146 ,+3,1819617,+1873,131145,455,51812,788,51486352,1346650,38232925
Romania,1802745,+349,58551 ,+15,1732591,+588,11603,443,94646,3074,16902077,887377,19047223
Chile,1800280,+1155,39034 ,+21,1715430,+2645,45816,552,92992,2016,27130137,1401382,19359563
Japan,1731515,+316,18387 ,+1,1711072,+128,2056,38,13753,146,29132328,231389,125901883
Vietnam,1651673,+15218,31214 ,+207,1248240,+18556,372219,7582,16745,316,73996693,750189,98637444
Bangladesh,1583253,+268,28060 ,+4,1547427,+247,7766,1352,9474,168,11393025,68172,167122510
Israel,1364966,+1135,8242 ,None,1343968,+288,12756,98,146361,884,37741674,4046931,9326000 
Pakistan,1293440,+359,28907 ,+2,1254859,+446,9674,631,5692,127,23148807,101866,227247167
Serbia,1290469,+976,12594 ,+26,1256219,+1651,21656,99,148584,1450,7158932,824274,8685141
Portugal,1279785,+3732,18874 ,+13,1159192,+1594,101719,151,126055,1859,25162551,2478437,10152588
Sweden,1273313,None,15229 ,None,1183577,+2115,74507,92,124924,1494,14208757,1394016,10192675
Austria,1264553,+1717,13634 ,+8,1221433,+2828,29486,383,139228,1501,120214287,13235630,9082627
Hungary,1237330,None,38307 ,None,1071772,None,127251,454,128568,3980,9058668,941263,9623950
Switzerland,1221424,None,12128 ,None,967497,+8433,241799,302,139615,1386,13812799,1578877,8748498
Greece,1074869,+4036,20429 ,+79,992309,+5678,62131,624,103877,1974,45229958,4371102,10347495
Jordan,1052868,+1447,12487 ,+43,997546,+3854,42835,1050,101694,1206,13336915,1288175,10353341
Kazakhstan,985857,+399,12974 ,+5,957267,+633,15616,528,51589,679,11575012,605714,19109710
Cuba,964729,+122,8320 ,None,955864,+66,545,10,85251,735,11536661,1019468,11316357
Morocco,956119,+532,14828 ,+1,937705,+127,3586,103,25456,395,10760434,286492,37559230
Georgia,924368,+1661,13512 ,+69,881863,+3841,28993,None,232381,3397,12725000,3199001,3977804
Nepal,827271,+213,11585 ,+2,810780,+283,4906,114,27656,387,4820530,161150,29913366
Slovakia,825629,+383,16398 ,+62,758521,+4867,50710,482,151115,3001,5037243,921970,5463566
UAE,751333,+1803,2158 ,+2,741325,+618,7850,None,74629,214,109285607,10855204,10067577
Bulgaria,734720,+838,30574 ,+46,605807,+260,98339,456,106934,4450,7304397,1063106,6870811
Tunisia,722795,None,25523 ,None,695094,None,2178,79,60223,2127,3317178,276385,12002000
Ireland,715726,+10404,5890 ,None,545638,+4619,164198,91,142587,1173,9736837,1939775,5019571
Lebanon,712570,+1311,9042 ,+15,652174,None,51354,186,105098,1334,4795578,707304,6780084
Denmark,699608,+14200,3210 ,+13,551192,+5979,145206,73,120157,551,104988220,18031582,5822463
Belarus,693584,+983,5499 ,+15,686275,+1236,1810,None,73436,582,10959782,1160415,9444711
Croatia,693253,+151,12325 ,+46,661757,+2785,19171,267,170429,3030,3701046,909863,4067694
Guatemala,625166,+39,16097 ,+1,607893,+52,1176,5,33964,875,3248274,176473,18406630
Azerbaijan,614630,+511,8297 ,+13,595098,+1178,11235,None,59820,808,5817708,566216,10274710
S. Korea,607463,+5418,5245 ,+69,494205,+4262,108013,1081,11833,102,15804065,307863,51334653
Sri Lanka,583649,+398,14884 ,+13,559436,+308,9329,None,27088,691,5726599,265779,21546444
Bolivia,576602,+1355,19546 ,+16,519431,+1332,37625,220,48417,1641,2633963,221173,11909071
Costa Rica,568860,None,7343 ,None,560239,None,1278,49,110178,1422,2911504,563906,5163104
Saudi Arabia,552795,+389,8871 ,+1,540868,+124,3056,33,15520,249,32809383,921160,35617474
Ecuador,540122,None,33641 ,None,443880,None,62601,759,29940,1865,2103013,116574,18040157
Myanmar,529613,+110,19254 ,+3,507210,+175,3149,None,9638,350,5981375,108850,54950834
Lithuania,511580,+673,7287 ,+19,478006,+274,26287,115,191897,2733,6550328,2457076,2665904
Panama,487767,+563,7416 ,+5,473719,+291,6632,18,110469,1680,4432384,1003838,4415439
Paraguay,465338,+105,16601 ,+2,447626,+78,1111,47,64075,2286,2018655,277958,7262437
Slovenia,456057,+676,5542 ,+7,434425,+779,16090,197,219325,2665,2053764,987689,2079362
Venezuela,443167,None,5313 ,None,431741,None,6113,681,15651,188,3359014,118624,28316375
Palestine,438263,+176,4639 ,+7,429946,+277,3678,54,83051,879,2828576,536015,5277046
Kuwait,415151,+240,2468 ,None,411340,+41,1343,4,95127,566,5862681,1343361,4364189
Dominican Republic,414226,+339,4238 ,+1,407250,None,2738,74,37625,385,2558377,232385,11009227
Uruguay,407381,+282,6163 ,None,397251,+245,3967,25,116675,1765,4338004,1242415,3491590
Ethiopia,398696,+2946,6898 ,+4,352987,+856,38811,193,3345,58,4052568,34004,119180357
Mongolia,388515,+204,2054 ,None,313256,None,73205,192,115749,612,4030048,1200657,3356535
Libya,385398,+735,5651 ,+10,373506,+622,6241,None,54980,806,2005263,286065,7009809
Egypt,381343,+823,21608 ,+37,317199,+543,42536,90,3625,205,3693367,35110,105194255
Honduras,379073,None,10430 ,None,123783,None,244860,50,37391,1029,1135703,112023,10138087
Moldova,374526,+177,9613 ,+8,360413,+202,4500,155,93165,2391,2326057,578614,4020050
Norway,374337,+2214,1257 ,None,88952,None,284128,121,68258,229,9213931,1680113,5484114
Armenia,344481,+102,7943 ,+1,330593,+282,5945,None,115930,2673,2535650,853335,2971460
Oman,305105,+47,4114 ,+1,300291,+56,700,3,57579,776,25000000,4717935,5298929
Australia,301960,+9424,2190 ,+2,232856,+3592,66914,132,11641,84,53660610,2068757,25938573
Bosnia and Herzegovina,287276,None,13269 ,None,192218,None,81789,None,88378,4082,1461608,449652,3250532
Kenya,282554,+1196,5361 ,+2,249996,+59,27197,17,5089,97,2990670,53861,55525687
Bahrain,279805,+287,1394 ,None,276863,+55,1548,1,156397,779,7918187,4425873,1789068
Singapore,277764,+209,822 ,+1,274204,+344,2738,18,46931,139,21098774,3564835,5918583
Latvia,271431,+203,4503 ,+3,257569,+472,9359,83,146305,2427,5566431,3000377,1855244
Qatar,248092,+296,615 ,+1,244748,+133,2729,13,88358,219,3143849,1119682,2807805 
Nigeria,237561,+1547,3022 ,+8,212550,+193,21989,11,1112,14,3751696,17555,213705182
Estonia,236565,+433,1909 ,+2,220819,+143,13837,21,178155,1438,2485466,1871785,1327859
Zambia,233120,+1539,3702 ,+5,211473,+1447,17945,252,12176,193,2893560,151131,19146091
Finland,230392,None,1507 ,None,46000,None,182885,59,41486,271,8501077,1530763,5553491
North Macedonia,223211,+279,7904 ,+10,210475,+156,4832,None,107146,3794,1574100,755599,2083247
Algeria,216637,+261,6238 ,+9,148985,+196,61414,38,4812,139,230861,5127,45024400
Botswana,208994,None,2427 ,None,195479,None,11088,1,86291,1002,1997064,824561,2421971
Albania,207709,+167,3194 ,+5,199386,+253,5129,23,72294,1112,1460890,508466,2873134
Zimbabwe,204351,+605,4891 ,+6,162211,+2237,37249,12,13459,322,1810625,119248,15183644
Uzbekistan,198242,+143,1479 ,+2,195193,+189,1570,23,5799,43,1377915,40304,34188224
Kyrgyzstan,184477,+38,2795 ,+3,179589,+44,2093,131,27601,418,1905600,285111,6683721
Mozambique,171502,+527,1968 ,+1,151305,+15,18229,13,5269,60,1056667,32461,32551676
Montenegro,163373,+545,2394 ,+5,157979,+187,3000,60,260072,3811,954972,1520211,628184
Afghanistan,157951,+49,7354 ,+2,145474,+82,5123,1124,3927,183,817297,20317,40226866
Cyprus,150760,+912,628 ,None,124370,None,25762,60,123534,515,9477138,7765632,1220395
Namibia,145637,+1008,3610 ,+2,129505,+935,12522,27,55819,1384,860787,329918,2609091
Ghana,136436,+1881,1274 ,+5,130050,+129,5112,5,4259,40,2073433,64726,32033788
Uganda,134348,+1116,3275 ,+1,98207,+10,32866,85,2806,68,2109457,44058,47878563
El Salvador,121741,None,3818 ,None,107088,None,10835,91,18630,584,1505621,230402,6534755
Cambodia,120449,+4,3008 ,None,116861,+8,580,None,7060,176,2759313,161723,17061972
Cameroon,108676,+225,1851 ,None,106050,+315,775,13,3948,67,1751774,63645,27524333
Laos,106231,+851,325 ,+8,7339,None,98567,None,14294,44,904796,121742,7432058
Rwanda,105027,+515,1347 ,+1,45522,None,58158,2,7822,100,3905062,290822,13427651
Luxembourg,98983,None,907 ,None,92159,None,5917,18,154402,1415,3795724,5920901,641072
Maldives,94864,+132,261 ,None,92558,+119,2045,23,171033,471,1860944,3355156,554652
Jamaica,92705,+192,2463 ,+1,65032,+150,25210,3,31106,826,700367,234996,2980341
Trinidad and Tobago,89829,+465,2768 ,+30,70220,+175,16841,22,63880,1968,501389,356553,1406211
Senegal,74412,+59,1890 ,None,72317,+25,205,None,4277,109,912419,52446,17397199
Réunion,71795,None,401 ,None,65494,None,5900,34,79350,443,1347378,1489163,904789
Angola,71752,+610,1749 ,+3,64016,+21,5987,3,2087,51,1253293,36455,34379178
Malawi,71007,+325,2332 ,+4,59567,+4,9108,67,3575,117,477167,24024,19861857
DRC,70059,None,1126 ,None,50930,None,18003,None,749,12,846704,9047,93590991
Eswatini,64443,+62,1277 ,+5,54943,+1107,8223,11,54707,1084,425045,360826,1177977
Ivory Coast,63847,None,707 ,None,61245,None,1895,None,2335,26,1208604,44198,27345525
Guadeloupe,56035,None,750 ,None,2250,None,53035,23,140008,1874,607573,1518075,400226
Fiji,52815,None,697 ,None,51221,None,897,None,58290,769,469654,518336,906080
Suriname,51578,+15,1186 ,None,49082,None,1310,3,86769,1995,167219,281311,594427
Syria,50089,+38,2875 ,+4,31916,+125,15298,None,2763,159,146269,8068,18130218
Madagascar,49590,None,1027 ,None,44708,None,3855,22,1725,36,320884,11163,28745051
Martinique,47300,None,769 ,None,104,None,46427,1,126190,2052,466711,1245117,374833
French Guiana,47229,None,337 ,None,11254,None,35638,5,152281,1087,481773,1553385,310144
French Polynesia,46376,None,636 ,None,N/A,N/A,N/A,7,163689,2245,None,None,283317
