Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99856,+76,4636 ,None,93789,+26,1431,22,69,3,160000000,111163,1439323776 
USA,51154389,+122728,821700 ,+1802,40241357,+84813,10091332,15528,153238,2461,779668169,2335569,333823623
India,34710630,+6986,476135 ,+247,34138763,+7995,95732,8944,24798,340,657662933,469854,1399716988
Brazil,22195775,+3826,617121 ,+141,21414318,None,164336,8318,103354,2874,63776166,296971,214755203
UK,10931136,+59050,146626 ,+149,9574546,+46232,1209964,900,159802,2144,379450849,5547177,68404314
Russia,10074797,+28343,291749 ,+1145,8804000,+34084,979048,2300,68993,1998,232400000,1591504,146025438
Turkey,9080452,+21477,79503 ,+181,8662026,+24042,338923,1128,106009,928,112617977,1314747,85657520
France,8334133,+63405,120832 ,+158,7362608,+32348,850693,2792,127271,1845,175073861,2673558,65483478
Germany,6600511,+40795,107166 ,+575,5497300,+61600,996045,4636,78416,1273,87852398,1043708,84173371
Iran,6160303,+2784,130831 ,+67,5980566,+5162,48906,3042,72004,1529,40258351,470558,85554505
Argentina,5366522,+4555,116826 ,+34,5220418,+2075,29278,739,117177,2551,26776841,584668,45798370
Spain,5366128,+26136,88542 ,+58,4958672,+4353,318914,1215,114707,1893,66213858,1415397,46781107
Italy,5258881,+20672,135070 ,+130,4826443,+13908,297368,863,87165,2239,127082617,2106369,60332558
Colombia,5097680,+1859,129205 ,+42,4938291,+2415,30184,342,98657,2501,28731851,556056,51670809
Indonesia,4259439,+190,143960 ,+12,4110574,+247,4905,None,15337,518,58730148,211468,277725653
Mexico,3918987,+771,296721 ,+49,3275463,+2203,346803,4798,29939,2267,12074161,92239,130900782
Poland,3857083,+17458,89045 ,+537,3333313,+19070,434725,2132,102076,2357,25659484,679068,37786343
Ukraine,3570448,+7283,91602 ,+387,3233009,+27130,245837,177,82360,2113,16333417,376766,43351667
South Africa,3204642,+23857,90172 ,+24,2943570,+30273,170900,546,53062,1493,20352343,336988,60394854
Netherlands,2906969,+12760,20214 ,+74,2274967,+11996,611788,634,169108,1176,19205114,1117227,17189987
Philippines,2836678,+45,50349 ,+8,2775708,+497,10621,899,25396,451,24734754,221440,111699463
Malaysia,2699240,+4097,30956 ,+48,2610610,+4301,57674,382,81874,939,39369907,1194173,32968335
Czechia,2350407,+11891,34778 ,+105,2099314,+681,216315,996,218890,3239,45625929,4249070,10737863
Peru,2256796,+1478,201902 ,+54,N/A,N/A,N/A,942,67089,6002,20921494,621943,33638923
Thailand,2174906,+2862,21229 ,+37,2106144,+4818,47533,1061,31046,303,14913135,212879,70054586
Iraq,2088833,+474,24007 ,+13,2056933,+696,7893,94,50294,578,16589899,399447,41532169
Belgium,1959193,+9751,27631 ,+46,1457208,+10919,474354,827,167985,2369,26010582,2230191,11662937
Canada,1845256,+4337,29969 ,+28,1777480,+3346,37807,455,48276,784,50263570,1315009,38222990
Romania,1794589,+946,57883 ,+89,1719084,+1736,17622,665,94199,3038,16483360,865220,19051059
Chile,1785124,+959,38723 ,+7,1687765,+2723,58636,675,92232,2001,26438403,1365998,19354637
Japan,1728906,+86,18374 ,+1,1709611,+123,921,27,13731,146,28552037,226759,125913469
Bangladesh,1580005,+295,28034 ,+3,1544664,+247,7307,1369,9457,168,11165105,66828,167073236
Vietnam,1443648,+15220,28333 ,+252,1060436,+4524,354879,7779,14640,287,71472525,724792,98611149
Israel,1351776,+830,8224 ,+1,1337231,+472,6321,88,144947,882,36081323,3868896,9326000 
Pakistan,1289543,+250,28839 ,+3,1251584,+175,9120,734,5678,127,22601431,99514,227118046
Serbia,1276761,+1547,12241 ,+32,1234299,+2308,30221,146,146987,1409,7003767,806310,8686194
Sweden,1242759,+4074,15190 ,+2,1169319,+1131,58250,73,121949,1491,13934770,1367389,10190786
Austria,1235063,+2859,13282 ,+64,1160198,+6006,61583,565,136004,1463,115678700,12738423,9081085
Hungary,1202514,+3575,37079 ,+195,996517,+4878,168918,563,124941,3852,8868961,921481,9624684
Portugal,1200193,+3591,18687 ,+14,1115749,+6358,65757,142,118205,1840,22855272,2250980,10153478
Switzerland,1144951,+12320,11907 ,+31,902221,+2675,230823,286,130902,1361,13237332,1513426,8746599
Jordan,1019691,+4402,12048 ,+24,941895,+4953,65748,1308,98518,1164,12839653,1240510,10350299
Greece,1012659,+5736,19475 ,+130,932006,+6156,61178,700,97851,1882,41278494,3988639,10349018
Kazakhstan,980372,+397,12876 ,+12,949397,+640,18099,528,51320,674,11575012,605928,19102962
Cuba,963751,+58,8313 ,None,955069,+83,369,15,85163,735,11359618,1003805,11316564
Morocco,951763,+219,14798 ,None,935592,+234,1373,103,25349,394,10583080,281869,37546085
Georgia,894801,+3988,12826 ,+49,840985,+3722,40990,None,224936,3224,12208365,3068945,3978033
Nepal,824764,+229,11559 ,+2,807516,+362,5689,114,27586,387,4734586,158360,29897595
Slovakia,781989,+4762,15516 ,+101,664669,+7008,101804,593,143130,2840,4883018,893755,5463487
UAE,743004,+110,2151 ,None,738049,+82,2804,None,73828,214,105261952,10459271,10063986
Tunisia,719903,+241,25443 ,+6,693118,+184,1342,50,60000,2121,3239645,270009,11998286
Bulgaria,718651,+2004,29764 ,+76,593074,+1950,95813,587,104571,4331,6962003,1013042,6872374
Lebanon,692315,+1474,8873 ,+13,642928,None,40514,186,102096,1309,4795578,707208,6780998
Belarus,676512,+778,5305 ,+16,667041,+792,4166,None,71628,562,10691609,1132010,9444804
Croatia,657726,+3071,11722 ,+56,624608,+3200,21396,326,161665,2881,3591136,882679,4068450
Ireland,632177,+3871,5788 ,None,492660,+3805,133729,108,125984,1153,9313992,1856148,5017914
Guatemala,622525,+288,16051 ,+3,605696,+306,778,5,33839,872,3195338,173691,18396655
Azerbaijan,605920,+922,8123 ,+19,578756,+1621,19041,None,58988,791,5694341,554357,10271967
Sri Lanka,576194,+2545,14661 ,+20,545768,+335,15765,None,26745,681,5726599,265813,21543752
Denmark,570502,+8314,3030 ,+7,484378,+4139,83094,70,97993,520,99534470,17096702,5821852
Costa Rica,568305,+81,7333 ,None,559282,+50,1690,61,110100,1421,2881944,558332,5161707
Bolivia,554999,+1891,19330 ,+13,505504,+997,30165,220,46622,1624,2606031,218915,11904284
Saudi Arabia,550369,+65,8856 ,+1,539636,+82,1877,33,15459,249,32066964,900728,35601169
Ecuador,534176,+588,33570 ,+8,443880,None,56726,759,29624,1862,2075736,115113,18032100
S. Korea,528652,+5564,4387 ,+94,435541,+1977,88724,906,10298,85,15804065,307871,51333332
Myanmar,527274,+363,19193 ,+5,503790,+357,4291,None,9597,349,5825381,106032,54939889
