Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99203,+61,4636 ,None,93507,+37,1060,12,69,3,160000000,111163,1439323776 
USA,50162494,+91673,810483 ,+733,39675200,+122733,9676811,13997,150286,2428,764798583,2291317,333781277
India,34648383,+6822,473757 ,+220,34069608,+8834,105018,8944,24759,339,648259067,463234,1399420665
Brazil,22147476,+4385,615789 ,+115,21370388,+7835,161299,8318,103145,2868,63776166,297017,214722227
UK,10514650,+51262,145646 ,+41,9259179,+38553,1109825,900,153731,2129,369333562,5399887,68396535
Russia,9833749,+32136,282462 ,+1184,8530476,+28070,1020811,2300,67343,1934,228500000,1564810,146024075
Turkey,8921150,+20033,78017 ,+187,8462323,+25611,380810,1128,104173,911,109804024,1282193,85637694
France,7928572,+11308,119727 ,+192,7191129,+19749,617716,2066,121083,1828,167925512,2564518,65480330
Germany,6219169,+39330,103913 ,+309,5120100,+37600,995156,4636,73890,1235,85782441,1019187,84167530
Iran,6137821,+3356,130277 ,+77,5930502,+7186,77042,3232,71761,1523,39415479,460833,85531007
Argentina,5343153,+2477,116680 ,+34,5203809,+1969,22664,671,116690,2548,26452899,577709,45789314
Spain,5235814,+10952,88219 ,+20,4934327,+3271,213268,814,111922,1886,66213858,1415409,46780712
Italy,5118562,+9489,134298 ,+95,4748454,+5567,235810,743,84836,2226,122636677,2032613,60334494
Colombia,5082762,+1698,128821 ,+41,4923433,+2122,30508,342,98391,2494,28382350,549418,51658961
Indonesia,4257815,+130,143876 ,+9,4108297,+2005,5642,None,15334,518,56152356,202232,277662471
Mexico,3901263,+970,295202 ,+48,3257676,+1874,348385,4798,29810,2256,11949792,91310,130871191
Poland,3684674,+13253,85701 ,+26,3167754,+25489,431219,1989,97511,2268,25000916,661623,37787245
Ukraine,3501955,+4478,88519 ,+239,3059741,+9082,353695,177,80770,2042,16089778,371097,43357380
South Africa,3038075,+6381,89975 ,+9,2861372,+3228,86728,546,50317,1490,19785993,327699,60378511
Philippines,2834989,+378,49499 ,+113,2771857,+580,13633,899,25388,443,24390103,218417,111667580
Netherlands,2772919,+20965,19702 ,+34,2169993,+11928,583224,618,161318,1146,19205114,1117280,17189161
Malaysia,2663034,+4262,30652 ,+38,2572053,+5894,60329,463,80798,930,38474592,1167337,32959271
Czechia,2247186,+6330,33866 ,+103,1962273,+222,251047,1014,209285,3154,44333278,4128854,10737430
Peru,2245146,+1731,201421 ,+42,N/A,N/A,N/A,976,66762,5990,20580665,611994,33628881
Thailand,2145241,+4000,20964 ,+22,2055265,+6450,69012,1369,30624,299,14913135,212890,70050769
Iraq,2084961,+615,23903 ,+18,2050960,+927,10098,91,50225,576,16451108,396294,41512393
Belgium,1855062,+12301,27276 ,+52,1378608,+10386,449178,804,159071,2339,25109681,2153150,11661837
Canada,1812244,+2876,29800 ,+27,1753116,+4147,29328,497,47421,780,49415557,1293067,38215765
Romania,1786839,+803,57159 ,+54,1703284,+1557,26396,881,93778,3000,16183286,849345,19053849
Chile,1774048,+1501,38531 ,+30,1668121,+2760,67396,690,91677,1991,26010495,1344138,19351055
Japan,1727942,+114,18364 ,None,1708711,+73,867,29,13722,146,28151465,223563,125921894
Bangladesh,1577720,+277,28005 ,+4,1542600,+326,7115,1373,9445,168,11000843,65859,167037400
Israel,1346670,+564,8209 ,+5,1332997,+572,5464,111,144400,880,35400109,3795851,9326000 
Vietnam,1323683,+14591,26483 ,+223,1010407,+1130,286793,7006,13426,269,69947142,709460,98592025
Pakistan,1287161,+336,28777 ,+10,1246464,+858,11920,862,5670,127,22252342,98018,227024140
Serbia,1265228,+1565,11955 ,+38,1213325,+3178,39948,178,145647,1376,6895637,793792,8686960
Sweden,1219557,+2249,15144 ,None,1162658,+731,41755,43,119689,1486,13708481,1345365,10189412
Austria,1203103,+4625,12844 ,+48,1087133,+11651,103126,661,132501,1415,112907381,12434783,9079964
Portugal,1169003,+2216,18551 ,+14,1088295,+1408,62157,135,115126,1827,21858506,2152673,10154125
Hungary,1157568,+22699,35611 ,+489,932204,+21459,189753,586,120264,3700,8666739,900420,9625218
Switzerland,1067697,+4459,11672 ,+12,876261,+5577,179764,234,122089,1335,12756006,1458627,8745217
Jordan,981767,+5811,11787 ,+26,907386,+4298,62594,1194,94874,1139,12450089,1203130,10348087
Kazakhstan,975782,+632,12785 ,+16,942076,+791,20921,528,51093,669,11575012,606083,19098054
Greece,971393,+5172,18716 ,+121,883066,+7027,69611,714,93853,1808,38293362,3699797,10350125
Cuba,963194,+104,8310 ,+1,954294,+119,590,20,85113,734,11219671,991425,11316715
Morocco,950643,+52,14788 ,None,933049,+129,2806,347,25326,394,10506174,279892,37536525
Georgia,867071,+1778,12407 ,+63,809830,+3234,44834,None,217956,3119,11832476,2974329,3978200
Nepal,822830,+238,11543 ,+2,804901,+357,6386,114,27532,386,4669794,156253,29886126
UAE,742376,+48,2149 ,+1,737400,+70,2827,None,73785,214,102805056,10217794,10061375
Slovakia,732495,+3020,14900 ,+74,599858,+4489,117737,625,134072,2727,4732283,866175,5463429
Tunisia,718498,+55,25403 ,+2,691797,+157,1298,64,59897,2118,3201422,266883,11995584
Bulgaria,705586,+2426,29060 ,+208,577043,+3546,99483,624,102653,4228,6739603,980518,6873511
Lebanon,679625,+824,8785 ,+10,634994,None,35846,186,100215,1295,4795578,707139,6781663
Belarus,665125,+1312,5176 ,+14,654000,+1126,5949,None,70422,548,10539713,1115919,9444872
Croatia,631765,+728,11269 ,+51,594929,+4588,25567,326,155263,2769,3512277,863179,4069001
Guatemala,619891,+39,15992 ,+6,602820,+103,1079,5,33709,870,3151236,171362,18389401
Ireland,597161,+2911,5707 ,None,461979,+3699,129475,110,119034,1138,9178076,1829501,5016709
Azerbaijan,596973,+585,7983 ,+16,565521,+944,23469,None,58128,777,5608158,546073,10269971
Sri Lanka,568423,+741,14484 ,+23,542688,+362,11251,None,26387,672,5695096,264374,21541794
Costa Rica,567614,+51,7318 ,+1,555649,+345,4647,75,109988,1418,2715029,526098,5160692
Saudi Arabia,549955,+43,8845 ,+1,539082,+26,2028,37,15453,249,31741301,891877,35589310
Bolivia,543390,+531,19222 ,+7,497887,+772,26281,220,45660,1615,2593083,217891,11900803
Ecuador,529456,+107,33488 ,+4,443880,None,52088,759,29371,1858,2047260,113571,18026241
Myanmar,524638,+231,19146 ,+5,500701,+397,4791,None,9551,349,5698201,103732,54931930
Denmark,516257,+7146,2956 ,+10,450856,+3704,62445,65,88683,508,96055602,16500410,5821407
Lithuania,480621,+776,6872 ,+25,444788,+232,28961,129,180152,2576,6246196,2341275,2667861
Panama,479231,+178,7375 ,+1,468838,None,3018,20,108622,1672,4273876,968713,4411910
S. Korea,477358,+4324,3893 ,+41,409041,+1866,64424,744,9299,76,15804065,307877,51332370
Paraguay,463427,+55,16479 ,+1,446234,+75,714,52,63851,2270,1964163,270625,7257889
Venezuela,435461,+543,5202 ,+9,422849,+560,7410,681,15376,184,3359014,118607,28320539
Palestine,432265,+402,4554 ,+5,424172,+191,3539,50,82010,864,2758039,523260,5270874
Slovenia,430843,+779,5319 ,+16,396789,+1374,28735,266,207201,2558,1965498,945248,2079347
Kuwait,413524,+33,2465 ,None,410746,+23,313,4,94825,565,5456590,1251251,4360909
Dominican Republic,408748,+232,4212 ,None,402627,+436,1909,156,37147,383,2483666,225714,11003584
Uruguay,401103,+178,6136 ,+2,392880,+298,2087,19,114897,1758,4159079,1191383,3490967
Mongolia,383682,+139,2017 ,+1,313256,None,68409,192,114402,601,4030048,1201639,3353792
Honduras,378324,+14,10413 ,None,122039,None,245872,53,37347,1028,1122483,110809,10129903
Libya,375468,+479,5499 ,+6,356814,+1693,13155,None,53600,785,1930533,275595,7004957
Ethiopia,372334,+119,6804 ,+4,349735,+109,15795,204,3128,57,3902783,32788,119032081
Moldova,366751,+495,9244 ,+27,351003,+506,6504,234,91219,2299,2241776,557582,4020535
Egypt,364033,+871,20770 ,+43,302259,+951,41004,90,3464,198,3693367,35143,105093906
Armenia,340818,+95,7691 ,+8,321884,+778,11243,None,114708,2589,2405279,809538,2971174
Oman,304612,+9,4113 ,None,300047,+8,452,1,57559,777,25000000,4723965,5292165
Norway,289611,+4125,1096 ,+3,88952,None,199563,82,52830,200,8722221,1591090,5481916
Bosnia and Herzegovina,278511,+267,12780 ,+53,192218,None,73513,None,85654,3930,1413601,434742,3251585
Bahrain,277856,+25,1394 ,None,276148,+25,314,1,155576,781,7513731,4207063,1785980
Singapore,269873,+662,763 ,+4,260754,+1198,8356,47,45616,129,21098774,3566272,5916198
Latvia,257559,+230,4277 ,+10,242498,+815,10784,129,138747,2304,5388611,2902848,1856319
Kenya,255469,+32,5335 ,None,248444,+18,1690,4,4606,96,2858654,51541,55464057
Qatar,244387,+164,611 ,None,241566,+107,2210,10,87038,218,3027701,1078316,2807805 
Estonia,225292,+299,1825 ,+2,208614,+764,14853,26,169671,1374,2365435,1781452,1327813
Australia,219118,+1276,2056 ,+6,197278,+208,19784,73,8453,79,49065149,1892711,25923219
North Macedonia,217400,+99,7658 ,+17,203967,+393,5775,None,104356,3676,1485944,713281,2083252
