Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100386,+102,4636 ,None,94014,+51,1736,5,70,3,160000000,111163,1439323776 
USA,52072584,+151531,829179 ,+704,40723734,+152212,10519671,15834,155973,2484,791381913,2370433,333855383
India,34752164,+5326,478007 ,+453,34187017,+8077,87140,8944,24824,341,665112580,475101,1399939229
Brazil,22215856,+2094,617905 ,+67,21414318,None,183633,8318,103435,2877,63776166,296937,214779935
UK,11451514,+91207,147261 ,+44,9826541,+43186,1477712,879,167395,2153,388970198,5685855,68410148
Russia,10241812,+27022,298222 ,+1019,9014980,+30059,928610,2300,70137,2042,235600000,1613406,146026460
Turkey,9189881,+18762,80591 ,+176,8810097,+24497,299193,1128,107268,941,114726791,1339134,85672389
France,8640924,+15075,121717 ,+224,7554011,+47102,965196,3025,131951,1859,178020146,2718453,65485839
Germany,6834446,+21710,109243 ,+280,5801400,+48100,923803,4636,81191,1298,89622218,1064678,84177751
Iran,6173369,+2390,131124 ,+41,6009489,+5212,32756,2849,72142,1532,40880338,477730,85572129
Spain,5535231,+26568,88793 ,+29,4985234,+6286,461204,1306,118321,1898,66213858,1415388,46781403
Italy,5405345,+16198,135778 ,+137,4899879,+8640,369688,987,89595,2251,130705958,2166477,60331107
Argentina,5395044,+5337,116930 ,+27,5237599,+3830,40515,795,117782,2553,27082573,591256,45805162
Colombia,5109022,+1699,129487 ,+29,4948804,+1905,30731,342,98859,2506,29007812,561300,51679695
Indonesia,4260677,+133,144013 ,+11,4111835,+216,4829,None,15339,518,60470151,217696,277773039
Poland,3968451,+9610,91514 ,+29,3458870,+22887,418067,2116,105025,2422,26298535,695992,37785666
Mexico,3933386,+841,297858 ,+23,3287874,+1956,347654,4798,30044,2275,12173363,92981,130922975
Ukraine,3610687,+2536,93262 ,+157,3338555,+6690,178870,177,83297,2152,16503941,380737,43347383
South Africa,3316585,+8511,90453 ,+105,3026285,+15772,199847,546,54904,1497,20985692,347404,60407112
Netherlands,2992157,+12154,20504 ,+36,2401175,+21746,570478,610,174058,1193,19205114,1117186,17190607
Philippines,2837551,+84,50784 ,+45,2777169,+205,9598,899,25398,455,24937631,223209,111723375
Malaysia,2721544,+2589,31135 ,+43,2638191,+3810,52218,379,82533,944,39845376,1208346,32975133
Czechia,2407038,+3742,35369 ,+64,2190448,+128,181221,838,224157,3294,46159025,4298586,10738188
Peru,2266205,+885,202295 ,+70,N/A,N/A,N/A,934,67353,6012,21192993,629873,33646454
Thailand,2194053,+2525,21408 ,+31,2132548,+4190,40097,899,31318,306,17270775,246523,70057449
Iraq,2090844,+364,24074 ,+11,2060413,+547,6357,91,50325,579,16683065,401547,41547002
Belgium,2010956,+7702,27953 ,+33,1539829,+19363,443174,804,172411,2397,26251807,2250715,11663762
Canada,1896462,+10450,30063 ,+13,1800387,+5910,66012,455,49609,786,51062934,1335733,38228409
Romania,1798629,+424,58254 ,+28,1726051,+1242,14324,527,94421,3058,16703409,876867,19048967
Chile,1792902,+1126,38885 ,+21,1701632,+2587,52385,620,92621,2009,26810503,1385031,19357324
Japan,1729964,+187,18379 ,None,1710316,+116,1269,27,13740,146,28827171,228956,125907149
Bangladesh,1581343,+260,28050 ,+2,1545807,+236,7486,1352,9463,168,11286029,67541,167100113
Vietnam,1555455,+14977,29791 ,+225,1109899,+1937,415765,7615,15771,302,72840350,738555,98625492
Israel,1357127,+1636,8232 ,None,1340857,+325,8038,84,145521,883,36880800,3954621,9326000 
Pakistan,1291467,+359,28878 ,+6,1253001,+354,9588,666,5685,127,22864737,100642,227188476
Serbia,1283490,+1029,12432 ,+31,1246604,+4095,24454,121,147772,1431,7077197,814818,8685620
Sweden,1263566,+3042,15206 ,None,1174809,+1314,73551,79,123978,1492,14208757,1394134,10191817
Austria,1251433,+1792,13496 ,+17,1196295,+4765,41642,478,137794,1486,117832609,12974408,9081926
Hungary,1228400,+10105,37896 ,+366,1048633,+22379,141871,503,127635,3938,9014430,936634,9624283
Portugal,1227854,+2752,18796 ,+18,1135358,+2023,73700,152,120935,1851,23905081,2354486,10152992
Switzerland,1192649,+4158,12032 ,+17,934401,+6246,246216,296,136340,1375,13618501,1556821,8747635
Jordan,1040243,+3578,12268 ,+38,969499,+5773,58476,1253,100488,1185,13117168,1267119,10351959
Greece,1037877,+3807,19976 ,+85,964410,+5807,53491,670,100296,1930,43043808,4159551,10348187
Kazakhstan,983294,+379,12923 ,+6,953206,+456,17165,528,51463,676,11575012,605811,19106643
Cuba,964176,+79,8315 ,+1,955462,+94,399,15,85201,735,11467928,1013386,11316451
