Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,101277,+200,4636 ,None,94483,+53,2158,13,70,3,160000000,111163,1439323776 
USA,53835605,+236945,840350 ,+876,41206407,+103966,11788848,16493,161236,2517,804580145,2409699,333892437
India,34799691,+6358,480290 ,+293,34237495,+7141,81906,8944,24853,343,672936621,480601,1400198512
Brazil,22246276,+6840,618575 ,+91,21414318,None,213383,8318,103563,2880,63776166,296897,214808789
UK,12209205,+98253,148003 ,+143,10126656,+41324,1934546,842,178453,2163,395579689,5781896,68416954
Russia,10415230,+23210,305155 ,+937,9293486,+33715,816589,2300,71324,2090,238700000,1634622,146027653
Turkey,9333223,+26099,81733 ,+157,8965748,+22024,285742,1128,108919,954,117216275,1367915,85689737
France,9146451,+30383,122898 ,+256,7864949,+58923,1158604,3333,139665,1877,182873794,2792453,65488594
Germany,7028368,+18734,111304 ,+223,6156500,+43000,760564,4636,83489,1322,89622218,1064614,84182861
Iran,6186729,+1967,131434 ,+34,6028495,+2117,26800,2766,72281,1536,41592984,485941,85592690
Spain,5932626,+53654,89139 ,+30,5031961,+9228,811526,1515,126815,1905,66213858,1415378,46781748
Italy,5678099,+30797,136780 ,+147,5003855,+9992,537464,1126,94118,2267,135699123,2249303,60329413
Argentina,5480305,+20263,117066 ,+31,5270844,+6348,92395,880,119623,2555,27537879,601092,45813086
Colombia,5127971,+3281,129798 ,+37,4961099,+1971,37074,342,99206,2511,29352283,567852,51690061
Indonesia,4261879,+120,144063 ,+8,4113320,+271,4496,None,15340,519,62247607,224051,277828324
Poland,4054872,+5036,94365 ,+38,3582296,+18862,378211,2069,107315,2497,26818933,709780,37784876
Mexico,3951003,+803,298777 ,+18,3298990,None,353236,4798,30172,2282,12274679,93736,130948867
Ukraine,3646988,+1864,94971 ,+133,3432739,+4527,119278,177,84144,2191,16678842,384816,43342384
South Africa,3417318,+3778,90829 ,+15,3120012,+8055,206477,546,56558,1503,21076433,348824,60421412
Netherlands,3076442,+11432,20728 ,+12,2556730,+22020,498984,540,178953,1206,19205114,1117140,17191330
Philippines,2838690,+216,51211 ,+11,2777900,+153,9579,899,25402,458,25078068,224410,111751273
Malaysia,2743936,+2757,31369 ,+35,2669650,+4616,42917,297,83192,951,40669067,1233029,32983064
Czechia,2447795,+2015,35888 ,+69,2285897,+123,126010,660,227944,3342,46645112,4343700,10738566
Peru,2281362,+2063,202550 ,+26,N/A,N/A,N/A,883,67786,6018,21550239,640323,33655241
Thailand,2212407,+2437,21598 ,+18,2156373,+3845,34436,899,31578,308,17270775,246511,70060790
Iraq,2092650,+166,24139 ,+9,2063418,+435,5093,89,50347,581,16776813,403635,41564306
Belgium,2050624,+2747,28195 ,+19,1554627,None,467802,660,175797,2417,26828439,2299963,11664724
Canada,2043434,+28604,30184 ,+38,1837063,+17446,176187,455,53444,789,51486352,1346586,38234731
Romania,1803311,+566,58575 ,+24,1733309,+718,11427,433,94679,3075,16922375,888476,19046526
Chile,1801033,+753,39056 ,+22,1718043,+2613,43934,542,93026,2017,27156849,1402697,19360459
Japan,1731789,+274,18387 ,None,1711218,+146,2184,44,13755,146,29153902,231564,125899777
Vietnam,1666545,+14872,31418 ,+204,1259614,+11374,375513,7636,16895,319,73996693,750152,98642225
Bangladesh,1583626,+373,28061 ,+1,1547750,+323,7815,1352,9475,168,11410296,68271,167131469
Israel,1368012,+3046,8242 ,None,1345367,+1399,14403,84,146688,884,37741674,4046931,9326000 
Sweden,1294560,+6047,15245 ,None,1185596,+2019,93719,92,127005,1496,14208757,1393969,10193019
Pakistan,1293715,+275,28909 ,+2,1254975,+116,9831,625,5692,127,23189338,102034,227270644
Serbia,1291718,+1249,12621 ,+27,1257813,+1594,21284,84,148731,1453,7172506,825855,8684950
Portugal,1286119,+6334,18890 ,+16,1161615,+2423,105614,150,126681,1861,25252238,2487311,10152426
Austria,1266103,+1550,13650 ,+16,1223628,+2195,28825,383,139394,1503,120407619,13256507,9082907
Switzerland,1260277,+7024,12216 ,+11,983404,+15907,264657,315,144051,1396,14024580,1603021,8748843
Hungary,1245319,+7989,38743 ,+436,1087943,+16171,118633,409,129400,4026,9114949,947124,9623816
Greece,1084228,+9359,20496 ,+67,997016,+4707,66716,629,104784,1981,45325105,4380415,10347218
Jordan,1054892,+2024,12518 ,+31,1002771,+5225,39603,997,101884,1209,13372534,1291546,10353894
Kazakhstan,986199,+342,12977 ,+3,957689,+422,15533,528,51604,679,11575012,605675,19110937
Cuba,964857,+128,8321 ,+1,955927,+63,609,10,85262,735,11592802,1024432,11316320
Morocco,956410,+291,14832 ,+4,938120,+415,3458,103,25462,395,10767972,286675,37561620
Georgia,925354,+986,13583 ,+71,885056,+3193,26715,None,232632,3415,12744701,3203988,3977762
Nepal,827522,+251,11586 ,+1,811005,+225,4931,114,27661,387,4829687,161440,29916233
Slovakia,826850,+1221,16445 ,+47,760829,+2308,49576,480,151338,3010,5042238,922882,5463580
UAE,753065,+1732,2159 ,+1,741933,+608,8973,None,74796,214,109610704,10886790,10068230
Bulgaria,735998,+1278,30623 ,+49,606916,+1109,98459,464,107124,4457,7326998,1066439,6870527
Tunisia,723422,+627,25538 ,+11,695396,+302,2488,77,60272,2128,3328020,277273,12002675
Ireland,722461,+6735,5890 ,None,550429,+4791,166142,91,143920,1173,9736837,1939658,5019872
Denmark,715133,+15525,3217 ,+7,558978,+7786,152938,70,122821,553,105287999,18082724,5822574
Lebanon,713670,+1100,9057 ,+15,657888,+5714,46725,186,105262,1336,4795578,707321,6779917
Belarus,694226,+642,5512 ,+13,686768,+493,1946,None,73504,584,10967864,1161273,9444694
Croatia,693813,+560,12375 ,+50,664687,+2930,16751,247,170572,3042,3703921,910601,4067556
Guatemala,625257,+91,16098 ,+1,607951,+58,1208,5,33966,874,3249683,176532,18408443
Azerbaijan,614936,+306,8309 ,+12,595658,+560,10969,None,59847,809,5824190,566820,10275209
S. Korea,611670,+4207,5300 ,+55,496938,+2733,109432,1078,11915,103,15804065,307862,51334894
Sri Lanka,584107,+458,14901 ,+17,559684,+248,9522,None,27109,692,5726599,265773,21546933
Bolivia,577808,+1206,19554 ,+8,520884,+1453,37370,220,48515,1642,2633963,221157,11909941
Costa Rica,570135,+117,7352 ,None,560667,+138,2116,45,110419,1424,2960199,573309,5163358
Saudi Arabia,553319,+524,8872 ,+1,541010,+142,3437,40,15534,249,32885065,923208,35620439
Ecuador,542960,+619,33650 ,+1,443880,None,65430,759,30095,1865,2136008,118393,18041622
Myanmar,529813,+200,19257 ,+3,507435,+225,3121,None,9641,350,5992582,109050,54952824
Lithuania,513191,+1606,7315 ,+24,478616,+606,27260,110,192517,2744,6555323,2459139,2665698
